epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.71786E+12,2024-06-08T18.04.29.648,0.759,-138.598,-16.341,130.732
1.71786E+12,2024-06-08T18.04.29.658,0.769,-135,-28.293,130
1.71786E+12,2024-06-08T18.04.29.668,0.779,-132.866,-37.5,130.549
1.71786E+12,2024-06-08T18.04.29.678,0.789,-133.232,-44.146,133.293
1.71786E+12,2024-06-08T18.04.29.687,0.798,-134.268,-50.061,137.866
1.71786E+12,2024-06-08T18.04.29.697,0.808,-135.122,-56.28,142.622
1.71786E+12,2024-06-08T18.04.29.708,0.819,-135.366,-62.866,146.707
1.71786E+12,2024-06-08T18.04.29.718,0.829,-135.183,-68.232,148.659
1.71786E+12,2024-06-08T18.04.29.727,0.838,-134.146,-71.89,148.232
1.71786E+12,2024-06-08T18.04.29.737,0.848,-132.5,-73.293,146.402
1.71786E+12,2024-06-08T18.04.29.747,0.858,-131.463,-75.427,145.244
1.71786E+12,2024-06-08T18.04.29.757,0.868,-127.317,-78.537,143.476
1.71786E+12,2024-06-08T18.04.29.766,0.877,-121.646,-81.646,138.963
1.71786E+12,2024-06-08T18.04.29.777,0.888,-117.561,-82.439,132.561
1.71786E+12,2024-06-08T18.04.29.787,0.898,-113.11,-78.659,125.976
1.71786E+12,2024-06-08T18.04.29.797,0.908,-107.073,-71.585,120.061
1.71786E+12,2024-06-08T18.04.29.806,0.917,-101.402,-64.573,115
1.71786E+12,2024-06-08T18.04.29.816,0.927,-96.28,-61.22,109.512
1.71786E+12,2024-06-08T18.04.29.826,0.937,-88.354,-59.39,100.183
1.71786E+12,2024-06-08T18.04.29.835,0.946,-76.951,-54.329,84.939
1.71786E+12,2024-06-08T18.04.29.845,0.956,-67.988,-44.634,70.488
1.71786E+12,2024-06-08T18.04.29.856,0.967,-60.793,-33.598,61.768
1.71786E+12,2024-06-08T18.04.29.866,0.977,-50.976,-22.073,56.402
1.71786E+12,2024-06-08T18.04.29.875,0.986,-40.793,-10.976,50.732
1.71786E+12,2024-06-08T18.04.29.885,0.996,-33.659,-3.415,44.207
1.71786E+12,2024-06-08T18.04.29.895,1.006,-28.659,1.89,37.317
1.71786E+12,2024-06-08T18.04.29.905,1.016,-23.171,3.841,31.098
1.71786E+12,2024-06-08T18.04.29.914,1.025,-16.524,2.317,25.427
1.71786E+12,2024-06-08T18.04.29.924,1.035,-9.451,-0.244,18.598
1.71786E+12,2024-06-08T18.04.29.935,1.046,-4.39,-2.134,12.317
1.71786E+12,2024-06-08T18.04.29.945,1.056,-0.976,-2.073,7.256
1.71786E+12,2024-06-08T18.04.29.954,1.065,1.524,-0.793,2.195
1.71786E+12,2024-06-08T18.04.29.964,1.075,3.72,0.61,-2.439
1.71786E+12,2024-06-08T18.04.29.974,1.085,6.098,2.073,-6.524
1.71786E+12,2024-06-08T18.04.29.985,1.096,7.439,2.073,-10.061
1.71786E+12,2024-06-08T18.04.29.993,1.104,8.902,1.585,-12.927
1.71786E+12,2024-06-08T18.04.30.004,1.115,10.122,1.524,-15.183
1.71786E+12,2024-06-08T18.04.30.014,1.125,11.098,1.524,-17.317
1.71786E+12,2024-06-08T18.04.30.024,1.135,12.012,1.829,-19.878
1.71786E+12,2024-06-08T18.04.30.033,1.144,12.317,2.866,-22.256
1.71786E+12,2024-06-08T18.04.30.043,1.154,13.293,3.537,-24.451
1.71786E+12,2024-06-08T18.04.30.053,1.164,15.244,5.61,-27.378
1.71786E+12,2024-06-08T18.04.30.062,1.173,16.22,8.293,-30.671
1.71786E+12,2024-06-08T18.04.30.072,1.183,16.098,12.317,-34.451
1.71786E+12,2024-06-08T18.04.30.083,1.194,16.707,18.415,-39.329
1.71786E+12,2024-06-08T18.04.30.093,1.204,19.634,26.22,-44.634
1.71786E+12,2024-06-08T18.04.30.102,1.213,23.415,34.39,-50.183
1.71786E+12,2024-06-08T18.04.30.112,1.223,27.439,42.927,-56.402
1.71786E+12,2024-06-08T18.04.30.122,1.233,32.683,51.585,-64.329
1.71786E+12,2024-06-08T18.04.30.132,1.243,39.268,58.11,-73.476
1.71786E+12,2024-06-08T18.04.30.141,1.252,47.744,61.524,-82.683
1.71786E+12,2024-06-08T18.04.30.152,1.263,57.988,62.073,-91.829
1.71786E+12,2024-06-08T18.04.30.162,1.273,68.902,62.5,-101.829
1.71786E+12,2024-06-08T18.04.30.172,1.283,80.793,61.524,-113.476
1.71786E+12,2024-06-08T18.04.30.181,1.292,93.293,61.341,-123.841
1.71786E+12,2024-06-08T18.04.30.191,1.302,106.707,61.524,-131.707
1.71786E+12,2024-06-08T18.04.30.201,1.312,117.988,60.061,-142.134
1.71786E+12,2024-06-08T18.04.30.212,1.323,128.963,61.28,-152.683
1.71786E+12,2024-06-08T18.04.30.220,1.331,141.098,64.939,-157.805
1.71786E+12,2024-06-08T18.04.30.231,1.342,152.561,62.622,-159.207
1.71786E+12,2024-06-08T18.04.30.241,1.352,160.61,52.927,-162.927
1.71786E+12,2024-06-08T18.04.30.251,1.362,165.183,40.183,-167.073
1.71786E+12,2024-06-08T18.04.30.260,1.371,169.451,29.39,-174.329
1.71786E+12,2024-06-08T18.04.30.270,1.381,171.707,23.476,-183.232
1.71786E+12,2024-06-08T18.04.30.280,1.391,172.5,25.488,-190.122
1.71786E+12,2024-06-08T18.04.30.289,1.4,173.171,33.354,-195.244
1.71786E+12,2024-06-08T18.04.30.299,1.41,175.976,42.805,-197.744
1.71786E+12,2024-06-08T18.04.30.310,1.421,182.988,49.939,-199.329
1.71786E+12,2024-06-08T18.04.30.320,1.431,189.451,49.268,-199.451
1.71786E+12,2024-06-08T18.04.30.329,1.44,194.634,36.524,-196.098
1.71786E+12,2024-06-08T18.04.30.339,1.45,200.061,14.146,-191.28
1.71786E+12,2024-06-08T18.04.30.349,1.46,201.463,-12.378,-186.646
1.71786E+12,2024-06-08T18.04.30.360,1.471,197.622,-35.061,-180.793
1.71786E+12,2024-06-08T18.04.30.368,1.479,193.659,-47.866,-175.61
1.71786E+12,2024-06-08T18.04.30.379,1.49,189.817,-52.683,-170.854
1.71786E+12,2024-06-08T18.04.30.389,1.5,184.512,-52.805,-166.707
1.71786E+12,2024-06-08T18.04.30.399,1.51,180.305,-50.671,-165.732
1.71786E+12,2024-06-08T18.04.30.408,1.519,176.463,-46.585,-166.098
1.71786E+12,2024-06-08T18.04.30.418,1.529,173.598,-43.841,-167.378
1.71786E+12,2024-06-08T18.04.30.428,1.539,172.988,-43.841,-169.512
1.71786E+12,2024-06-08T18.04.30.439,1.55,170,-40.854,-172.744
1.71786E+12,2024-06-08T18.04.30.447,1.558,163.963,-34.939,-176.28
1.71786E+12,2024-06-08T18.04.30.458,1.569,158.78,-27.622,-180.061
1.71786E+12,2024-06-08T18.04.30.468,1.579,154.634,-18.963,-181.28
1.71786E+12,2024-06-08T18.04.30.478,1.589,153.354,-7.622,-183.049
1.71786E+12,2024-06-08T18.04.30.487,1.598,150.671,0.427,-186.159
1.71786E+12,2024-06-08T18.04.30.497,1.608,147.744,3.476,-186.585
1.71786E+12,2024-06-08T18.04.30.507,1.618,146.341,1.341,-185.732
1.71786E+12,2024-06-08T18.04.30.516,1.627,142.866,-2.5,-184.573
1.71786E+12,2024-06-08T18.04.30.527,1.638,138.049,-6.402,-183.476
1.71786E+12,2024-06-08T18.04.30.537,1.648,135.122,-8.659,-181.646
1.71786E+12,2024-06-08T18.04.30.547,1.658,133.963,-10.61,-177.866
1.71786E+12,2024-06-08T18.04.30.556,1.667,134.207,-11.402,-173.72
1.71786E+12,2024-06-08T18.04.30.566,1.677,131.28,-9.39,-170.976
1.71786E+12,2024-06-08T18.04.30.576,1.687,127.012,-5.549,-166.098
1.71786E+12,2024-06-08T18.04.30.587,1.698,124.939,0.122,-160.427
1.71786E+12,2024-06-08T18.04.30.595,1.706,123.78,9.756,-155.183
1.71786E+12,2024-06-08T18.04.30.606,1.717,121.341,23.78,-150.793
1.71786E+12,2024-06-08T18.04.30.616,1.727,116.463,39.512,-145.671
1.71786E+12,2024-06-08T18.04.30.626,1.737,114.39,53.476,-138.72
1.71786E+12,2024-06-08T18.04.30.635,1.746,117.988,62.5,-129.39
1.71786E+12,2024-06-08T18.04.30.645,1.756,124.634,66.707,-118.78
1.71786E+12,2024-06-08T18.04.30.655,1.766,128.659,65.671,-108.659
1.71786E+12,2024-06-08T18.04.30.666,1.777,126.28,55.793,-98.72
1.71786E+12,2024-06-08T18.04.30.674,1.785,120.122,33.598,-88.354
1.71786E+12,2024-06-08T18.04.30.685,1.796,114.207,2.622,-78.537
1.71786E+12,2024-06-08T18.04.30.695,1.806,112.805,-25.366,-71.646
1.71786E+12,2024-06-08T18.04.30.705,1.816,108.963,-45.244,-68.354
1.71786E+12,2024-06-08T18.04.30.714,1.825,104.085,-53.902,-62.805
1.71786E+12,2024-06-08T18.04.30.724,1.835,101.28,-53.963,-56.829
1.71786E+12,2024-06-08T18.04.30.735,1.846,99.146,-46.707,-50.976
1.71786E+12,2024-06-08T18.04.30.743,1.854,91.951,-35.732,-46.89
1.71786E+12,2024-06-08T18.04.30.754,1.865,82.622,-25.671,-41.829
1.71786E+12,2024-06-08T18.04.30.764,1.875,74.085,-18.476,-36.037
1.71786E+12,2024-06-08T18.04.30.774,1.885,63.171,-14.085,-30.854
1.71786E+12,2024-06-08T18.04.30.783,1.894,50.244,-11.037,-26.098
1.71786E+12,2024-06-08T18.04.30.793,1.904,38.78,-5.915,-22.256
1.71786E+12,2024-06-08T18.04.30.803,1.914,27.927,0.122,-18.11
