epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1715008587006,2024-05-06T18.16.27.006,0.800,-54.905,4.078,-99.348
1715008587015,2024-05-06T18.16.27.015,0.809,-73.319,14.200,-85.015
1715008587025,2024-05-06T18.16.27.025,0.819,-94.242,21.639,-68.316
1715008587035,2024-05-06T18.16.27.035,0.829,-114.527,27.222,-52.641
1715008587045,2024-05-06T18.16.27.045,0.839,-124.874,34.207,-35.088
1715008587054,2024-05-06T18.16.27.054,0.848,-124.874,41.989,-16.223
1715008587064,2024-05-06T18.16.27.064,0.858,-124.653,48.285,1.341
1715008587075,2024-05-06T18.16.27.075,0.869,-124.874,50.316,15.476
1715008587085,2024-05-06T18.16.27.085,0.879,-124.162,47.302,24.684
1715008587094,2024-05-06T18.16.27.094,0.888,-119.120,46.757,28.079
1715008587104,2024-05-06T18.16.27.104,0.898,-111.338,47.530,27.797
1715008587114,2024-05-06T18.16.27.114,0.908,-100.560,49.569,30.255
1715008587124,2024-05-06T18.16.27.124,0.918,-94.947,49.615,34.405
1715008587133,2024-05-06T18.16.27.133,0.927,-87.961,49.303,35.777
1715008587143,2024-05-06T18.16.27.143,0.937,-77.321,53.849,38.479
1715008587154,2024-05-06T18.16.27.154,0.948,-70.846,55.362,42.226
1715008587163,2024-05-06T18.16.27.163,0.957,-66.025,53.453,45.564
1715008587173,2024-05-06T18.16.27.173,0.967,-57.214,48.929,49.013
1715008587183,2024-05-06T18.16.27.183,0.977,-34.939,39.806,54.931
1715008587193,2024-05-06T18.16.27.193,0.987,-0.084,28.308,62.835
1715008587202,2024-05-06T18.16.27.202,0.996,32.508,17.527,70.164
1715008587212,2024-05-06T18.16.27.212,1.006,57.290,7.462,75.854
1715008587223,2024-05-06T18.16.27.223,1.017,88.438,-1.905,85.892
1715008587233,2024-05-06T18.16.27.233,1.027,109.550,-5.972,104.684
1715008587242,2024-05-06T18.16.27.242,1.036,109.878,2.149,124.398
1715008587252,2024-05-06T18.16.27.252,1.046,111.322,11.944,124.874
1715008587262,2024-05-06T18.16.27.262,1.056,103.441,23.476,124.588
1715008587272,2024-05-06T18.16.27.272,1.066,74.398,38.971,124.829
1715008587281,2024-05-06T18.16.27.281,1.075,34.021,55.473,124.874
1715008587291,2024-05-06T18.16.27.291,1.085,-3.548,65.556,124.874
