x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
0.5490236695077024,0.22998083525332524,0.6193432714155386,0.8338326023204573,0.21239377850277438,0.23006518430134132
0.550271210805958,0.23617577230828649,0.6199224248587405,0.8346666608928902,0.19877769475778526,0.22772431728803288
0.5517527264669583,0.24237521382136537,0.6208440810510107,0.8355018880099548,0.1852840611290835,0.2253120263531913
0.5537215755746658,0.24859392052467155,0.6224440761045131,0.8363780439845103,0.17208666601588674,0.22269411460492428
0.5563971590810207,0.2548382407314032,0.6250065610370759,0.8373347255773609,0.15935571654485847,0.2197472666298877
0.5599501394709455,0.2611061617614503,0.6287382645177281,0.8384098189348931,0.14725861133006243,0.21636693930443437
0.5644913935419386,0.2673887289871097,0.6337488375628385,0.8396377863625025,0.13596054183271258,0.21247432867900448
0.5700654324632831,0.27367270863084225,0.6400387994679485,0.8410477936087136,0.12562449245787602,0.208022073186665
0.5766486643681645,0.27994424340546775,0.6474958805959135,0.8426617275117283,0.11641031386375542,0.2029984092644675
0.5841525020604579,0.28619314750014746,0.6558998038587052,0.8444921956699183,0.10847268576316091,0.1974295625313009
0.5924309628518383,0.29241741955560474,0.6649348391360271,0.8465406332293179,0.10195794732468497,0.19138023549884267
0.6012920955544513,0.29862752529847036,0.6742088664564254,0.8487956617722259,0.09699993638482832,0.18495213992222623
0.6105123217285249,0.3048500170883092,0.6832772395966618,0.8512318487417793,0.0937151249368348,0.17828061554722827
0.61985260815199,0.3111301131095802,0.6916694770796009,0.853809002262744,0.09219745205652101,0.1715294731109714
0.6290753019877117,0.31753294789438435,0.6989167281458296,0.8564721071283684,0.09251332476057139,0.16488429287976095
0.6379604596216013,0.32414331899369375,0.7045780555627111,0.8591519663120434,0.09469727545169797,0.1585444950135379
0.646320579225491,0.33106388082415733,0.7082638195481054,0.8617665629888347,0.09874873030320497,0.15271456881379766
0.6540127955826286,0.3384118642514696,0.7096548021596674,0.8642231056693126,0.10463026040214128,0.14759489915164903
0.6609477997612362,0.3463145180493799,0.7085161382331102,0.8664206686512688,0.11226756586894024,0.14337265589162798
0.6670949894965021,0.3549035661929106,0.7047055750251304,0.8682532961267044,0.12155129552403532,0.14021321329198685
0.6724836209643538,0.3643090454862161,0.6981760282444959,0.8696134046373416,0.13234064640307827,0.1382525404089139
0.6772000010796435,0.3746529266047581,0.6889728027356211,0.8703952977257202,0.14446853468396148,0.13759095168290542
0.6813810143802868,0.3860429266576014,0.6772261749878002,0.8704985998910687,0.15774799754776211,0.13828853227004279
0.6852045045074187,0.39856689431575426,0.6631402741162451,0.8698314243649787,0.1719793867725318,0.1403624600735617
0.6888772142713254,0.41228809361511687,0.6469793395858651,0.8683131096376427,0.18695785828565065,0.14378634184036787
0.6926211204226513,0.427241636125027,0.6290524782465267,0.8658763909881778,0.2024806517270883,0.1484915708475961
0.6966590732169249,0.443432221134704,0.609697998582726,0.8624689126956686,0.21835368969875907,0.15437060552780613
0.7012006641906003,0.4608332483468832,0.5892682810608719,0.8580540309175753,0.2343971026002454,0.16128196842513975
0.7064291996607076,0.47938727557683414,0.5681159690247911,0.8526109030951899,0.25044939274097777,0.16905667887595316
0.7124905574136738,0.49900771246131387,0.5465820559694179,0.8461339040137923,0.266370079018657,0.17750576532294432
0.7194845582375501,0.5195815759112465,0.5249862237160364,0.8386314485094924,0.28204079775314,0.18642845734532795
0.7274593034090869,0.5409730876866219,0.5036195719852887,0.8301243339939581,0.2973649632326775,0.19562063495130985
0.7364087268720112,0.5630278704907278,0.48273969004421363,0.8206437407751053,0.31226620155438534,0.20488311358111544
0.7462734004934722,0.5855774956376114,0.46256786827905894,0.8102290435063048,0.3266858543382881,0.21402936640636314
0.756944426323201,0.6084441499779907,0.4432881397108835,0.7989255924874834,0.340579899065521,0.22289232854094665
0.7682700641367076,0.6314452182382566,0.4250477816315604,0.7867826189565105,0.35391564797651315,0.2313299874698051
0.7800645868848277,0.6543976142127452,0.4079588939512418,0.7738514043555742,0.36666856907829504,0.23922953650695858
0.7921187397129558,0.6771217350941363,0.3921006976464758,0.7601838305920091,0.3788195253960896,0.24650994920266955
0.8042111057434336,0.6994449527778704,0.3775222548103469,0.7458313976000608,0.3903526590977744,0.25312291798454684
0.8161196564517151,0.7212045903409388,0.3642453900846416,0.7308447574103201,0.40125406391722596,0.259052185641833
0.8276327856538597,0.7422503585506264,0.352267679692874,0.7152737721270651,0.4115113012683962,0.2643113794475705
0.8385591903484748,0.7624462452724461,0.3415654572281942,0.699168058741041,0.42111373096606175,0.2689405309781862
