x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
-0.074,1.459,0.168,-37.5,-0.488,-39.146
-0.095,1.452,0.205,-32.256,-1.037,-36.89
-0.095,1.419,0.253,-26.707,-3.598,-35.976
-0.092,1.382,0.28,-22.256,-7.866,-33.78
-0.082,1.343,0.283,-17.866,-12.256,-29.878
-0.115,1.293,0.266,-13.72,-16.22,-26.524
-0.147,1.265,0.224,-9.756,-18.537,-23.354
-0.129,1.243,0.183,-6.159,-19.329,-20.305
-0.115,1.225,0.161,-2.988,-18.293,-15.976
-0.102,1.247,0.139,-0.305,-16.585,-12.195
-0.082,1.244,0.12,2.683,-15.854,-8.049
-0.077,1.207,0.096,5.61,-18.171,-3.415
-0.116,1.181,0.083,6.768,-22.744,-0.122
-0.154,1.158,0.071,7.5,-26.463,2.5
-0.147,1.118,0.062,9.207,-27.561,6.098
-0.158,1.099,0.051,10.671,-27.439,9.573
-0.181,1.099,0.028,12.561,-27.622,11.22
-0.192,1.087,0.02,14.451,-28.72,11.951
-0.183,1.062,0.04,16.951,-30.732,12.134
-0.186,1.036,0.063,19.329,-32.256,11.707
-0.187,1.032,0.069,21.463,-31.585,10.976
-0.165,1.025,0.053,23.171,-28.11,9.451
-0.167,0.998,0.017,23.78,-22.439,7.439
-0.167,0.98,-0.035,23.598,-15.427,4.695
-0.152,0.978,-0.088,22.805,-9.146,2.439
-0.157,0.964,-0.118,20.793,-5.366,0.976
-0.176,0.941,-0.125,18.171,-5.427,-1.22
-0.205,0.934,-0.117,14.939,-8.841,-3.72
-0.198,0.922,-0.089,12.134,-13.537,-5.732
-0.195,0.914,-0.07,9.512,-17.012,-6.22
-0.195,0.927,-0.08,7.073,-18.537,-6.098
-0.177,0.944,-0.091,5.183,-17.317,-6.585
-0.161,0.945,-0.094,3.476,-13.476,-6.707
-0.144,0.936,-0.091,2.012,-10.427,-7.195
-0.132,0.938,-0.066,0.976,-10.366,-8.476
-0.133,0.942,-0.029,0.061,-12.5,-9.634
-0.133,0.953,0.002,-1.159,-14.39,-9.634
-0.105,0.963,0.019,-1.402,-13.78,-8.78
-0.108,0.96,0.028,-0.793,-10.854,-7.073
-0.132,0.963,0.028,0.0,-7.134,-5.183
-0.134,0.98,0.031,0.61,-3.841,-3.232
-0.146,0.993,0.042,1.037,-1.646,-1.159
-0.155,1.0,0.059,1.524,-0.976,0.244
-0.162,1.007,0.071,1.585,-2.012,1.951
-0.165,1.04,0.069,0.488,-2.683,3.598
-0.149,1.085,0.063,-0.671,-2.073,4.695
-0.146,1.113,0.049,-1.22,-0.732,6.037
-0.141,1.155,0.035,-1.037,2.073,8.049
-0.114,1.226,0.033,-0.061,5.793,11.037
-0.075,1.293,0.025,2.561,8.049,14.695
-0.091,1.356,0.028,4.939,6.28,19.146
-0.117,1.435,0.062,7.256,3.11,24.085
-0.079,1.502,0.099,12.134,0.976,29.085
-0.079,1.561,0.116,18.293,-1.585,34.939
-0.119,1.632,0.148,24.573,-4.39,41.402
-0.124,1.693,0.191,32.866,-4.085,48.537
-0.095,1.754,0.239,43.171,-1.524,56.524
-0.081,1.792,0.296,53.841,-1.402,62.622
-0.039,1.791,0.325,65.122,-5.976,66.951
0.004,1.77,0.337,76.159,-12.988,70.61
0.064,1.73,0.355,87.195,-14.878,73.963
0.148,1.694,0.349,98.659,-7.073,76.28
0.215,1.675,0.328,109.451,9.268,76.829
0.249,1.65,0.294,117.012,26.402,74.634
0.239,1.613,0.246,120.0,43.354,69.817
0.298,1.566,0.201,119.756,61.646,63.598
0.282,1.525,0.185,115.549,61.646,59.573
0.208,1.461,0.127,109.512,44.939,54.39
0.291,1.398,0.081,106.098,29.268,47.744
0.3,1.331,-0.006,103.659,9.085,41.463
0.205,1.252,-0.064,98.72,-16.646,40.61
0.152,1.196,-0.092,91.28,-42.927,37.5
0.17,1.164,-0.122,84.573,-56.951,30.122
0.244,1.151,-0.154,81.037,-60.915,21.951
0.232,1.144,-0.178,74.39,-60.549,13.232
0.264,1.067,-0.211,70.488,-57.5,5.0
0.217,0.982,-0.264,68.476,-57.256,-1.89
0.068,0.924,-0.237,62.195,-60.305,-8.049
0.005,0.811,-0.171,54.695,-61.707,-18.049
0.008,0.693,-0.128,49.817,-57.927,-29.634
0.008,0.622,-0.113,43.963,-53.72,-40.976
-0.01,0.583,-0.167,39.024,-53.232,-48.049
-0.066,0.581,-0.234,35.183,-60.793,-53.293
-0.162,0.526,-0.232,30.854,-75.183,-57.561
-0.216,0.434,-0.197,26.524,-83.963,-59.39
-0.173,0.424,-0.192,23.659,-82.622,-61.22
-0.18,0.449,-0.205,19.085,-79.512,-63.902
-0.213,0.412,-0.19,11.28,-72.744,-65.549
-0.179,0.333,-0.2,8.232,-64.451,-68.415
-0.241,0.3,-0.245,8.171,-66.768,-70.366
-0.341,0.339,-0.252,2.378,-79.085,-70.244
-0.28,0.325,-0.235,-2.317,-84.451,-69.268
-0.22,0.257,-0.256,0.061,-84.695,-67.561
-0.306,0.297,-0.305,-0.61,-85.549,-62.622
-0.309,0.416,-0.354,-3.659,-82.195,-57.378
-0.262,0.475,-0.42,-3.963,-77.866,-53.232
-0.349,0.482,-0.435,-5.732,-77.317,-46.768
-0.411,0.497,-0.427,-9.146,-77.561,-41.28
-0.395,0.518,-0.447,-11.707,-78.537,-36.524
-0.396,0.551,-0.454,-15.976,-79.024,-29.146
-0.398,0.574,-0.452,-20.488,-75.305,-23.11
