x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
0.458,0.007,0.581,7.256,28.537,-0.671
0.444,-0.009,0.606,6.89,28.72,0.0
0.43,-0.005,0.609,5.366,32.744,0.122
0.417,0.011,0.583,1.768,37.5,0.366
0.403,0.02,0.575,-1.951,41.159,1.402
0.395,0.016,0.595,-4.939,44.573,2.439
0.399,-0.003,0.614,-6.098,48.171,3.354
0.386,-0.022,0.614,-5.488,53.171,3.537
0.367,-0.034,0.581,-3.841,60.488,2.744
0.36,-0.03,0.535,-2.988,68.78,2.439
0.341,-0.003,0.518,-4.329,75.732,1.28
0.292,-0.005,0.517,-5.793,80.122,0.671
0.241,-0.031,0.526,-5.976,82.5,1.768
0.207,-0.052,0.528,-6.037,84.756,3.659
0.178,-0.057,0.5,-6.89,87.256,3.841
0.165,-0.058,0.468,-8.659,90.244,4.817
0.173,-0.047,0.486,-12.012,93.963,6.341
0.169,-0.042,0.519,-16.098,98.232,7.256
0.161,-0.045,0.547,-20.427,102.012,7.988
0.136,-0.048,0.576,-25.732,105.976,7.622
0.091,-0.081,0.567,-29.085,108.841,7.5
0.061,-0.117,0.567,-29.268,111.098,8.841
0.052,-0.129,0.606,-30.915,113.537,9.512
0.057,-0.135,0.678,-34.695,115.732,10.122
0.061,-0.159,0.734,-37.317,117.256,10.183
0.028,-0.178,0.757,-39.756,118.598,9.024
-0.025,-0.185,0.784,-42.805,119.634,8.659
-0.053,-0.205,0.819,-43.171,122.073,9.085
-0.059,-0.233,0.827,-40.61,127.134,9.573
-0.08,-0.236,0.823,-40.61,133.841,8.476
-0.107,-0.261,0.818,-41.707,139.695,7.805
-0.135,-0.301,0.841,-42.317,142.683,8.293
-0.183,-0.31,0.875,-46.098,138.841,8.598
-0.244,-0.309,0.934,-49.634,129.39,11.646
-0.262,-0.309,1.011,-52.073,121.585,12.744
-0.242,-0.309,1.016,-55.854,117.683,12.683
-0.24,-0.313,0.963,-56.951,117.134,10.976
-0.218,-0.344,0.926,-57.073,123.659,7.134
-0.185,-0.393,0.918,-58.171,135.183,4.146
-0.208,-0.406,0.929,-59.512,143.171,2.561
-0.291,-0.39,0.968,-61.22,141.768,1.585
-0.386,-0.385,1.011,-63.049,134.512,0.854
-0.432,-0.393,1.035,-66.037,126.463,0.366
-0.465,-0.414,1.005,-67.988,119.939,-0.061
-0.464,-0.451,0.95,-66.585,119.939,0.854
-0.391,-0.486,0.909,-65.366,129.146,2.134
-0.345,-0.502,0.888,-67.5,143.11,1.585
-0.369,-0.519,0.915,-72.317,149.756,0.488
-0.474,-0.519,0.954,-76.402,140.976,-0.976
-0.602,-0.509,1.005,-77.805,121.22,-2.622
-0.657,-0.519,1.016,-78.72,99.268,-2.805
-0.642,-0.562,0.992,-75.488,84.512,0.0
-0.562,-0.599,0.952,-70.427,83.841,5.061
-0.495,-0.594,0.888,-66.585,97.439,10.61
-0.468,-0.575,0.88,-66.22,120.305,14.329
-0.462,-0.615,0.93,-66.159,140.122,13.841
-0.545,-0.7,1.009,-64.756,147.744,14.207
-0.645,-0.688,1.06,-65.366,134.878,12.134
-0.766,-0.621,1.065,-64.939,104.207,5.61
-0.828,-0.626,1.018,-59.451,74.268,4.695
-0.722,-0.677,0.947,-51.951,63.841,11.524
