x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
-0.472,-0.955,0.496,38.659,-7.622,-13.171
-0.468,-0.943,0.526,41.707,-11.707,-14.756
-0.477,-0.941,0.564,45.732,-16.341,-16.707
-0.482,-0.959,0.607,50.915,-20.427,-18.841
-0.466,-0.979,0.641,56.22,-23.659,-21.098
-0.446,-0.989,0.657,60.976,-26.28,-23.537
-0.448,-0.994,0.695,66.037,-30.488,-26.707
-0.464,-1.01,0.731,71.037,-35.854,-29.573
-0.474,-1.033,0.765,76.707,-40.793,-31.341
-0.475,-1.059,0.784,83.293,-44.329,-32.927
-0.471,-1.082,0.778,90.0,-45.305,-34.878
-0.458,-1.095,0.779,95.854,-44.085,-36.28
-0.439,-1.104,0.791,100.488,-42.134,-36.89
-0.435,-1.11,0.814,105.061,-41.524,-38.11
-0.438,-1.136,0.831,110.61,-42.622,-39.817
-0.449,-1.177,0.826,117.012,-45.61,-41.22
-0.448,-1.202,0.808,122.622,-49.939,-42.317
-0.449,-1.197,0.81,127.561,-52.866,-43.415
-0.442,-1.185,0.815,132.439,-54.207,-44.939
-0.426,-1.183,0.79,136.463,-55.305,-46.22
-0.403,-1.185,0.775,139.634,-55.793,-46.829
-0.407,-1.189,0.782,141.768,-56.463,-48.841
-0.409,-1.2,0.779,144.451,-58.354,-51.585
-0.414,-1.21,0.754,147.134,-62.012,-53.11
-0.427,-1.2,0.735,148.598,-65.305,-54.512
-0.43,-1.181,0.731,149.695,-66.89,-56.037
-0.418,-1.159,0.74,151.159,-66.646,-57.012
-0.409,-1.154,0.739,152.927,-65.244,-57.805
-0.402,-1.159,0.742,155.0,-64.146,-58.354
-0.403,-1.152,0.732,157.439,-62.683,-58.232
-0.413,-1.128,0.739,159.207,-59.329,-57.927
-0.409,-1.113,0.743,160.488,-56.524,-57.195
-0.394,-1.11,0.729,161.341,-56.463,-55.305
-0.402,-1.095,0.727,162.073,-59.268,-53.902
-0.43,-1.065,0.738,163.232,-64.146,-53.293
-0.441,-1.041,0.745,164.024,-68.171,-52.988
-0.416,-1.019,0.748,165.549,-69.024,-52.012
-0.387,-0.997,0.757,167.5,-65.061,-50.976
-0.35,-0.968,0.769,168.902,-57.561,-50.61
-0.306,-0.933,0.789,169.512,-48.963,-49.878
-0.279,-0.894,0.819,169.451,-43.232,-48.841
-0.281,-0.862,0.848,170.61,-40.732,-48.72
-0.306,-0.854,0.854,173.78,-38.841,-49.207
-0.301,-0.864,0.861,177.561,-35.244,-48.415
-0.272,-0.849,0.851,179.695,-31.463,-46.707
-0.245,-0.796,0.816,179.024,-30.122,-45.0
-0.242,-0.718,0.774,175.366,-31.646,-43.293
-0.262,-0.646,0.767,170.061,-35.732,-42.805
-0.28,-0.606,0.761,165.976,-40.793,-42.805
-0.282,-0.604,0.755,163.598,-44.878,-41.829
-0.28,-0.602,0.736,160.671,-47.927,-40.732
-0.272,-0.558,0.684,154.878,-50.854,-39.939
-0.261,-0.491,0.657,148.049,-53.293,-39.207
-0.262,-0.447,0.683,143.902,-54.268,-38.354
-0.25,-0.436,0.684,142.073,-52.805,-37.439
-0.217,-0.419,0.668,140.183,-47.439,-35.732
-0.188,-0.375,0.65,136.585,-40.61,-34.573
-0.16,-0.33,0.619,133.841,-33.598,-33.902
-0.153,-0.308,0.573,132.927,-28.537,-31.768
-0.154,-0.279,0.533,131.463,-25.061,-28.354
-0.158,-0.215,0.499,126.768,-22.927,-25.61
-0.162,-0.119,0.486,118.11,-21.646,-24.207
-0.166,-0.042,0.49,108.11,-22.378,-23.232
-0.162,-0.014,0.479,101.89,-24.756,-21.951
-0.16,-0.023,0.435,98.354,-27.561,-19.878
-0.144,-0.002,0.418,93.171,-28.354,-18.049
-0.117,0.076,0.442,85.244,-26.951,-19.024
-0.092,0.161,0.468,77.561,-23.537,-20.427
-0.081,0.196,0.455,71.707,-18.354,-20.793
-0.084,0.188,0.429,68.78,-12.378,-20.061
-0.077,0.16,0.406,68.354,-5.122,-18.049
-0.069,0.161,0.379,65.854,1.402,-15.0
-0.059,0.229,0.346,57.317,6.098,-12.988
-0.09,0.337,0.32,44.878,6.768,-13.232
-0.125,0.381,0.329,35.671,5.305,-12.195
-0.161,0.333,0.339,32.378,3.841,-9.207
-0.168,0.269,0.316,28.598,3.537,-5.366
-0.151,0.292,0.311,21.585,4.268,-2.683
-0.127,0.358,0.317,14.939,5.61,-0.549
-0.118,0.398,0.318,7.927,8.232,1.037
-0.099,0.439,0.364,-1.28,13.537,0.366
-0.071,0.433,0.415,-5.976,19.146,0.671
-0.069,0.349,0.412,-5.732,21.524,4.329
-0.088,0.298,0.379,-8.354,20.122,7.195
-0.082,0.344,0.386,-17.378,16.22,8.598
-0.091,0.44,0.443,-28.171,10.549,7.317
-0.111,0.477,0.509,-35.427,5.0,4.512
-0.109,0.417,0.543,-36.463,2.622,5.122
-0.08,0.306,0.539,-36.159,6.159,7.561
-0.052,0.273,0.546,-39.024,13.476,8.963
-0.031,0.315,0.551,-45.854,20.183,9.878
-0.043,0.352,0.558,-51.341,23.537,11.341
-0.071,0.327,0.57,-55.488,24.329,13.11
-0.102,0.29,0.591,-59.634,24.207,13.537
-0.112,0.253,0.612,-61.707,25.0,14.146
-0.104,0.192,0.61,-61.037,27.683,16.646
-0.098,0.146,0.599,-61.341,32.378,18.78
-0.094,0.146,0.609,-64.268,37.561,19.634
-0.084,0.16,0.637,-68.232,41.951,21.402
-0.09,0.144,0.652,-70.671,43.659,22.622
-0.115,0.111,0.645,-72.256,43.841,23.049
-0.127,0.071,0.638,-74.146,46.768,23.963
-0.113,0.031,0.623,-75.976,52.439,25.671
-0.088,0.0,0.612,-78.293,57.988,26.768
-0.08,-0.008,0.639,-82.195,61.646,25.549
-0.089,0.002,0.696,-86.829,64.268,23.049
-0.106,-0.013,0.715,-89.146,65.427,21.524
-0.119,-0.068,0.695,-89.207,66.159,22.622
-0.119,-0.115,0.716,-90.366,68.78,23.963
-0.132,-0.116,0.727,-94.146,71.159,22.012
-0.152,-0.102,0.689,-98.659,72.561,20.366
-0.162,-0.126,0.68,-102.561,73.171,20.244
-0.18,-0.174,0.713,-106.28,69.512,19.268
-0.213,-0.222,0.762,-108.293,62.622,17.5
-0.261,-0.259,0.812,-108.902,56.89,16.22
-0.283,-0.269,0.803,-111.341,55.183,15.183
-0.261,-0.275,0.765,-113.902,56.646,15.488
-0.238,-0.298,0.744,-116.159,58.476,17.317
-0.24,-0.306,0.785,-121.28,57.195,18.598
-0.266,-0.297,0.849,-128.659,53.476,15.732
-0.312,-0.327,0.896,-131.463,47.378,12.195
-0.34,-0.428,0.909,-127.927,42.622,11.829
-0.362,-0.531,0.907,-122.5,42.195,11.524
-0.359,-0.574,0.89,-119.085,46.463,11.402
-0.328,-0.556,0.862,-119.878,51.037,14.451
-0.317,-0.508,0.859,-125.549,50.0,17.134
-0.349,-0.45,0.932,-132.561,43.232,16.037
-0.405,-0.448,0.993,-138.293,31.89,12.317
-0.439,-0.508,0.992,-139.512,21.707,9.268
-0.457,-0.62,0.983,-133.841,19.329,8.659
-0.421,-0.741,0.95,-123.659,26.098,10.366
-0.352,-0.794,0.878,-116.524,39.451,12.866
-0.311,-0.748,0.838,-116.707,52.561,16.22
-0.328,-0.655,0.846,-122.683,56.89,17.744
-0.412,-0.609,0.882,-126.28,51.159,17.012
-0.504,-0.648,0.91,-126.28,39.146,18.171
-0.553,-0.702,0.915,-128.232,25.488,19.39
-0.542,-0.728,0.884,-130.61,14.451,18.354
