x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
-0.417,-0.895,0.359,15.61,12.866,-7.256
-0.419,-0.886,0.362,15.793,11.402,-6.524
-0.423,-0.887,0.352,16.037,10.427,-5.976
-0.417,-0.886,0.338,16.402,10.183,-5.061
-0.406,-0.884,0.31,16.341,10.488,-3.72
-0.402,-0.872,0.284,15.671,11.037,-3.049
-0.407,-0.854,0.27,14.451,11.098,-2.866
-0.412,-0.844,0.27,12.439,10.0,-3.11
-0.426,-0.843,0.272,10.183,6.159,-3.902
-0.444,-0.848,0.276,8.659,0.183,-4.817
-0.44,-0.841,0.274,7.5,-5.976,-5.61
-0.424,-0.828,0.275,5.732,-9.939,-6.402
-0.415,-0.826,0.273,4.085,-11.829,-6.646
-0.393,-0.831,0.27,2.683,-10.488,-5.549
-0.374,-0.826,0.269,0.976,-6.524,-4.695
-0.378,-0.82,0.264,-0.793,-2.866,-4.451
-0.387,-0.821,0.249,-1.951,-0.549,-4.024
-0.386,-0.825,0.246,-2.195,0.915,-3.171
-0.393,-0.827,0.255,-2.439,1.524,-1.829
-0.41,-0.824,0.266,-3.354,1.22,-1.037
-0.417,-0.822,0.273,-4.512,0.183,-0.793
-0.422,-0.829,0.277,-5.122,-1.768,-0.427
-0.438,-0.829,0.281,-6.098,-4.451,-0.366
-0.448,-0.827,0.283,-7.012,-6.341,-0.366
-0.439,-0.844,0.294,-7.439,-7.195,-0.671
-0.436,-0.869,0.296,-7.378,-8.049,-1.341
-0.437,-0.875,0.291,-6.646,-8.841,-1.524
-0.418,-0.869,0.286,-6.159,-8.354,-0.854
-0.402,-0.857,0.284,-5.732,-6.585,-0.305
-0.401,-0.856,0.285,-5.122,-4.573,0.061
-0.393,-0.852,0.291,-4.939,-2.683,0.427
-0.387,-0.849,0.294,-4.878,-0.671,1.646
-0.394,-0.845,0.295,-5.183,1.524,3.049
-0.39,-0.845,0.3,-6.159,3.293,3.598
-0.394,-0.853,0.304,-7.012,3.415,3.902
-0.412,-0.855,0.298,-7.988,0.61,3.354
-0.424,-0.851,0.292,-8.537,-4.024,2.256
-0.417,-0.854,0.292,-8.902,-8.902,1.098
-0.405,-0.854,0.293,-9.329,-13.049,0.305
-0.387,-0.852,0.296,-9.878,-15.488,0.061
-0.369,-0.851,0.302,-10.488,-15.793,0.305
-0.355,-0.854,0.311,-10.671,-14.512,0.61
-0.354,-0.854,0.315,-11.341,-12.561,0.671
-0.359,-0.85,0.316,-12.744,-12.012,0.427
-0.382,-0.857,0.316,-12.988,-13.598,0.122
-0.409,-0.871,0.319,-12.195,-17.073,-0.671
-0.41,-0.875,0.333,-11.89,-20.305,-1.098
-0.395,-0.875,0.349,-13.049,-22.866,-1.22
-0.389,-0.886,0.375,-14.024,-25.305,-0.732
-0.39,-0.908,0.41,-15.0,-29.085,0.488
-0.373,-0.914,0.447,-17.5,-35.671,2.744
-0.403,-0.944,0.525,-17.866,-45.854,6.22
-0.459,-1.0,0.634,-17.073,-61.585,6.768
-0.436,-1.018,0.757,-15.671,-79.146,6.098
-0.406,-1.044,0.908,-10.793,-96.402,8.232
-0.403,-1.079,1.055,-5.061,-113.902,8.598
-0.352,-1.12,1.178,2.927,-127.561,7.012
-0.278,-1.166,1.287,14.451,-134.329,8.537
-0.23,-1.208,1.414,26.951,-134.878,12.256
-0.216,-1.278,1.574,40.061,-130.732,13.902
-0.216,-1.39,1.713,54.39,-127.317,14.146
-0.25,-1.478,1.834,68.293,-131.768,13.171
-0.273,-1.547,1.907,86.768,-142.683,9.573
-0.229,-1.622,1.889,108.049,-155.915,5.732
-0.141,-1.636,1.908,127.5,-163.902,1.585
-0.025,-1.666,1.929,149.329,-159.756,-4.939
0.089,-1.706,1.887,169.634,-145.122,-12.805
0.172,-1.727,1.827,185.976,-125.793,-22.805
0.176,-1.755,1.722,203.293,-107.012,-33.537
0.146,-1.771,1.583,222.622,-90.427,-42.5
0.129,-1.751,1.462,238.537,-76.159,-50.0
0.089,-1.705,1.378,249.695,-63.11,-56.707
0.006,-1.658,1.299,255.427,-54.512,-64.39
-0.103,-1.621,1.202,259.756,-51.585,-72.744
-0.224,-1.592,1.067,267.073,-51.951,-78.963
-0.322,-1.535,0.938,272.378,-50.549,-82.805
-0.337,-1.47,0.856,272.256,-42.256,-84.878
-0.343,-1.42,0.817,267.439,-29.329,-84.39
-0.396,-1.374,0.781,260.183,-20.305,-81.768
-0.495,-1.319,0.731,253.659,-20.366,-78.476
-0.59,-1.271,0.677,247.927,-30.488,-75.549
-0.638,-1.208,0.639,242.5,-47.134,-73.476
-0.655,-1.132,0.6,236.585,-66.28,-72.744
-0.689,-1.036,0.555,230.793,-83.354,-74.573
-0.667,-0.963,0.51,225.671,-94.451,-78.841
-0.596,-0.897,0.452,217.805,-99.695,-83.415
-0.521,-0.81,0.407,208.415,-100.854,-86.159
-0.484,-0.749,0.389,199.451,-98.049,-85.183
-0.459,-0.706,0.403,189.817,-95.854,-82.805
-0.493,-0.685,0.416,183.598,-96.707,-80.122
-0.571,-0.672,0.421,180.305,-100.61,-77.195
-0.564,-0.637,0.405,175.976,-102.561,-74.634
-0.505,-0.57,0.435,170.427,-98.78,-69.939
-0.476,-0.507,0.452,164.39,-92.439,-65.305
-0.471,-0.467,0.407,158.78,-89.207,-60.976
-0.444,-0.413,0.391,156.951,-88.902,-57.988
-0.401,-0.347,0.356,156.951,-88.537,-55.427
-0.324,-0.253,0.315,152.622,-87.866,-53.354
-0.289,-0.17,0.277,147.134,-87.378,-52.134
-0.279,-0.13,0.209,144.817,-86.098,-50.305
-0.229,-0.089,0.146,142.5,-82.134,-48.354
-0.168,-0.029,0.106,139.695,-73.232,-46.098
-0.096,0.023,0.057,136.22,-59.146,-42.5
-0.044,0.078,-0.017,129.634,-41.341,-38.963
-0.0,0.124,-0.089,121.28,-23.049,-33.72
0.054,0.183,-0.124,109.878,-8.537,-26.098
0.043,0.276,-0.122,95.427,-1.646,-19.817
0.004,0.35,-0.104,80.0,-3.354,-16.707
-0.009,0.378,-0.071,65.671,-12.195,-15.915
0.012,0.397,-0.03,53.476,-23.963,-14.573
0.078,0.438,0.006,41.463,-32.317,-11.341
0.123,0.479,0.071,30.305,-35.732,-9.817
0.135,0.503,0.132,19.085,-37.256,-11.341
0.166,0.511,0.171,8.476,-35.183,-11.768
0.218,0.492,0.232,1.341,-28.537,-10.0
0.217,0.472,0.274,-4.512,-20.61,-8.902
0.219,0.45,0.286,-9.634,-13.78,-8.232
0.254,0.43,0.322,-13.963,-7.744,-5.61
0.227,0.419,0.373,-17.5,-5.061,-3.78
0.199,0.408,0.418,-20.061,-6.159,-3.415
0.215,0.398,0.467,-22.256,-8.415,-1.829
0.221,0.392,0.513,-24.451,-9.695,1.037
0.224,0.38,0.542,-27.988,-9.634,3.415
0.226,0.355,0.58,-30.793,-8.72,5.366
0.221,0.34,0.599,-33.232,-7.866,6.402
0.232,0.33,0.592,-34.085,-6.89,7.805
0.246,0.322,0.584,-34.756,-4.024,9.451
0.263,0.306,0.589,-35.793,0.061,10.488
0.274,0.292,0.601,-36.402,3.476,11.951
0.272,0.29,0.598,-36.341,6.463,13.537
0.268,0.286,0.57,-36.402,10.244,14.878
0.269,0.279,0.552,-37.561,14.817,16.951
0.268,0.29,0.569,-39.695,19.573,18.598
0.268,0.309,0.576,-43.171,24.39,19.39
0.264,0.313,0.559,-48.537,29.329,19.756
0.233,0.281,0.532,-52.439,32.866,20.122
0.196,0.235,0.511,-55.0,35.122,20.976
0.206,0.219,0.509,-59.39,38.476,22.683
0.202,0.218,0.545,-65.366,41.402,24.146
0.152,0.199,0.58,-69.634,40.305,24.268
0.149,0.172,0.607,-71.951,37.683,24.573
0.167,0.175,0.618,-76.22,36.524,25.915
0.175,0.174,0.661,-80.671,34.939,27.378
0.146,0.162,0.692,-85.427,32.256,27.561
0.127,0.103,0.723,-87.378,30.488,27.317
0.115,0.025,0.764,-85.122,30.976,28.049
0.105,-0.017,0.768,-82.256,35.122,28.841
0.109,-0.052,0.744,-81.159,41.768,30.061
0.122,-0.076,0.766,-79.634,49.329,33.476
0.124,-0.071,0.797,-78.049,56.951,37.134
0.121,-0.056,0.811,-75.488,64.085,39.512
0.089,-0.023,0.792,-73.963,69.512,39.634
0.042,-0.0,0.718,-72.317,74.573,36.768
0.02,-0.036,0.616,-69.512,83.232,33.171
0.003,-0.095,0.521,-71.707,95.305,30.488
-0.034,-0.192,0.504,-75.122,106.951,29.268
-0.095,-0.27,0.503,-79.268,113.537,28.963
-0.131,-0.27,0.538,-85.671,113.049,29.512
-0.196,-0.262,0.592,-88.415,106.768,29.329
-0.253,-0.243,0.58,-89.085,97.195,27.5
-0.229,-0.231,0.524,-90.427,91.585,27.256
-0.229,-0.193,0.476,-95.854,92.378,28.049
-0.261,-0.153,0.419,-105.244,99.085,26.707
-0.292,-0.189,0.358,-123.354,106.768,23.963
-0.318,-0.336,0.428,-137.622,110.061,21.28
-0.364,-0.481,0.496,-144.634,107.927,17.988
-0.416,-0.519,0.478,-151.585,99.878,15.549
-0.434,-0.513,0.489,-157.317,92.439,17.5
-0.448,-0.521,0.517,-162.561,90.549,21.28
-0.461,-0.541,0.544,-167.561,94.878,23.049
-0.414,-0.553,0.555,-173.72,104.695,24.634
-0.402,-0.546,0.518,-188.902,115.244,27.805
-0.428,-0.583,0.549,-209.451,121.341,28.049
-0.455,-0.723,0.646,-220.915,121.707,23.78
-0.524,-0.829,0.713,-227.866,109.817,16.524
-0.59,-0.848,0.765,-234.146,87.195,9.024
-0.579,-0.852,0.831,-235.671,65.366,6.524
-0.539,-0.874,0.885,-235.122,51.646,7.805
-0.498,-0.917,0.928,-236.829,45.61,9.817
-0.435,-0.956,1.018,-240.0,46.402,12.622
-0.387,-1.043,1.102,-240.732,50.488,14.085
-0.371,-1.162,1.169,-239.451,54.207,12.5
-0.348,-1.279,1.237,-231.89,57.256,9.085
-0.323,-1.348,1.277,-217.744,60.549,6.951
-0.322,-1.352,1.283,-201.28,65.732,5.854
-0.318,-1.322,1.275,-184.939,75.61,4.085
-0.283,-1.281,1.28,-170.549,91.098,1.951
-0.25,-1.246,1.284,-158.415,108.537,-1.037
-0.282,-1.247,1.272,-149.939,122.317,-5.671
-0.343,-1.314,1.261,-142.195,127.805,-11.585
-0.394,-1.404,1.273,-131.829,125.061,-15.793
-0.428,-1.447,1.276,-117.927,117.622,-17.5
-0.457,-1.4,1.255,-105.976,108.963,-17.317
-0.474,-1.305,1.22,-95.122,102.988,-15.427
-0.482,-1.232,1.169,-83.476,101.037,-11.646
-0.5,-1.162,1.113,-74.39,99.146,-9.329
-0.518,-1.101,1.056,-66.768,96.89,-7.561
-0.5,-1.072,1.024,-60.732,94.756,-4.451
-0.498,-1.076,1.02,-55.488,90.427,-1.098
-0.524,-1.098,1.005,-49.39,80.671,1.22
-0.528,-1.123,0.985,-41.22,69.146,3.659
-0.514,-1.119,0.963,-34.39,58.232,6.341
-0.525,-1.078,0.918,-28.72,48.171,7.439
-0.522,-1.03,0.872,-23.72,40.061,7.683
-0.503,-0.991,0.827,-18.72,35.0,7.805
-0.483,-0.961,0.78,-12.927,33.415,9.024
-0.447,-0.932,0.747,-9.939,38.11,10.671
-0.414,-0.922,0.709,-5.732,43.537,11.037
-0.448,-0.915,0.658,-3.293,45.793,12.988
-0.453,-0.917,0.617,-0.244,45.793,12.317
-0.451,-0.901,0.58,1.646,43.841,9.756
-0.462,-0.877,0.551,0.915,38.598,7.561
-0.492,-0.867,0.524,0.366,30.305,4.207
-0.5,-0.857,0.501,-0.305,20.793,0.732
-0.491,-0.847,0.483,-0.976,13.415,-1.646
-0.485,-0.828,0.458,-3.354,7.866,-3.232
-0.488,-0.817,0.428,-6.037,3.476,-4.695
-0.506,-0.828,0.379,-7.378,-1.159,-5.366
-0.524,-0.84,0.34,-7.683,-6.098,-5.366
-0.521,-0.849,0.324,-7.622,-10.427,-5.427
-0.502,-0.86,0.308,-7.073,-14.451,-5.244
-0.487,-0.865,0.271,-6.524,-19.695,-4.634
-0.488,-0.869,0.24,-4.573,-25.305,-3.598
-0.476,-0.862,0.237,-2.317,-28.415,-2.805
-0.433,-0.849,0.248,-2.073,-27.5,-3.11
-0.399,-0.847,0.256,-1.524,-21.951,-3.11
-0.375,-0.845,0.249,-1.28,-14.817,-2.622
-0.386,-0.836,0.229,-1.707,-8.841,-2.622
-0.402,-0.844,0.217,-1.341,-4.695,-2.927
-0.402,-0.858,0.22,0.244,-1.707,-3.293
-0.397,-0.857,0.221,2.073,1.037,-3.476
-0.395,-0.839,0.226,2.561,3.902,-3.902
-0.396,-0.829,0.217,3.049,6.89,-4.634
-0.385,-0.826,0.218,3.537,10.793,-5.61
-0.391,-0.83,0.218,2.927,14.085,-6.707
-0.403,-0.836,0.217,2.073,15.427,-7.927
-0.414,-0.849,0.223,1.341,15.122,-8.78
-0.437,-0.86,0.221,0.732,12.378,-9.878
-0.456,-0.861,0.222,0.61,8.049,-10.732
-0.444,-0.861,0.22,0.122,4.329,-10.488
-0.431,-0.857,0.225,-0.61,2.805,-9.573
-0.435,-0.857,0.221,-1.341,1.89,-8.72
-0.448,-0.857,0.222,-2.195,0.305,-8.476
-0.453,-0.859,0.234,-2.805,-1.402,-8.537
-0.445,-0.854,0.243,-3.78,-2.805,-8.293
-0.44,-0.855,0.251,-4.695,-3.598,-7.866
-0.433,-0.869,0.255,-5.61,-4.878,-7.378
-0.44,-0.874,0.255,-6.159,-7.012,-7.378
-0.443,-0.868,0.25,-6.768,-9.207,-7.561
-0.425,-0.872,0.25,-7.073,-10.061,-7.622
-0.41,-0.887,0.255,-6.463,-8.841,-7.378
-0.393,-0.894,0.26,-5.366,-6.037,-7.256
-0.382,-0.879,0.255,-5.244,-1.646,-6.707
-0.385,-0.872,0.251,-4.878,3.171,-6.037
-0.385,-0.878,0.237,-3.72,6.646,-5.976
-0.408,-0.883,0.237,-2.195,7.866,-6.159
-0.424,-0.884,0.243,-1.22,7.317,-6.524
-0.423,-0.879,0.25,-1.28,6.22,-6.646
-0.424,-0.879,0.255,-1.28,4.695,-6.037
-0.422,-0.887,0.261,-0.854,3.232,-5.366
-0.426,-0.885,0.256,-1.037,2.256,-4.878
-0.428,-0.876,0.25,-1.463,2.012,-4.512
-0.427,-0.876,0.247,-1.89,1.768,-4.268
-0.433,-0.876,0.237,-1.646,0.244,-3.963
-0.44,-0.876,0.237,-0.915,-1.829,-3.354
-0.437,-0.876,0.247,-0.366,-3.293,-2.988
-0.421,-0.877,0.255,0.0,-3.537,-2.866
-0.407,-0.875,0.263,0.305,-2.561,-2.012
-0.397,-0.873,0.265,0.427,-1.402,-1.098
-0.399,-0.869,0.263,0.305,-0.305,-0.549
-0.402,-0.867,0.262,0.0,0.366,-0.122
-0.415,-0.864,0.255,-0.183,-0.183,-0.122
-0.428,-0.866,0.252,-0.305,-1.89,-0.793
-0.429,-0.87,0.257,-0.122,-3.963,-1.585
-0.426,-0.874,0.25,0.244,-5.854,-2.073
-0.42,-0.873,0.247,0.427,-6.829,-2.439
-0.409,-0.874,0.246,1.28,-5.122,-2.561
-0.388,-0.877,0.243,1.707,-1.22,-2.012
-0.374,-0.875,0.239,1.585,3.78,-1.402
-0.381,-0.868,0.233,1.402,7.927,-0.915
-0.399,-0.865,0.229,1.159,9.817,-0.732
-0.414,-0.869,0.225,0.854,9.146,-1.037
-0.428,-0.872,0.231,0.732,7.256,-1.28
-0.426,-0.873,0.24,0.183,5.793,-1.463
-0.409,-0.877,0.265,-0.671,5.366,-1.463
-0.394,-0.893,0.297,-1.463,5.549,-1.524
-0.385,-0.915,0.335,-1.22,6.037,-1.768
-0.375,-0.928,0.366,0.305,6.829,-2.195
-0.354,-0.929,0.394,1.22,7.622,-2.5
-0.35,-0.931,0.442,2.134,7.927,-2.622
-0.354,-0.952,0.521,4.146,7.683,-2.744
-0.343,-0.976,0.61,6.646,5.915,-2.866
-0.349,-0.993,0.726,9.329,3.11,-2.439
-0.346,-1.03,0.861,15.793,1.768,-1.951
-0.301,-1.103,0.965,27.256,4.573,-0.061
-0.255,-1.159,1.02,39.39,9.756,2.073
-0.237,-1.2,1.053,55.427,20.305,3.171
-0.203,-1.253,1.13,75.305,39.695,3.902
-0.156,-1.289,1.245,92.378,61.402,0.732
-0.13,-1.338,1.351,110.488,79.146,-3.049
-0.138,-1.388,1.418,129.024,89.451,-3.415
-0.164,-1.404,1.476,145.671,92.317,-2.256
-0.229,-1.397,1.501,159.756,88.72,-2.805
-0.299,-1.381,1.5,170.366,80.244,-5.976
-0.32,-1.389,1.497,178.354,69.756,-10.0
-0.315,-1.45,1.49,186.341,57.927,-11.951
-0.359,-1.527,1.458,197.256,45.61,-12.256
-0.403,-1.575,1.378,209.146,35.061,-12.561
-0.424,-1.583,1.274,221.098,29.695,-11.829
-0.453,-1.583,1.167,232.561,27.866,-8.963
-0.505,-1.601,1.07,243.78,26.524,-4.512
-0.591,-1.612,1.037,252.317,23.415,-0.305
-0.662,-1.611,1.029,257.073,16.341,2.012
-0.712,-1.605,0.997,259.207,4.634,4.451
-0.751,-1.56,0.963,259.085,-10.488,7.134
-0.797,-1.493,0.938,257.134,-27.378,8.476
-0.835,-1.442,0.887,253.841,-45.0,8.11
-0.84,-1.417,0.839,251.585,-59.817,6.89
-0.809,-1.396,0.788,250.732,-69.024,6.098
-0.778,-1.342,0.754,248.78,-71.341,6.037
-0.765,-1.306,0.723,246.524,-69.207,6.098
-0.767,-1.295,0.7,245.915,-65.793,6.28
-0.774,-1.269,0.659,247.5,-62.317,5.976
-0.767,-1.209,0.596,248.537,-59.512,5.854
-0.745,-1.144,0.551,247.622,-57.195,6.768
-0.755,-1.103,0.53,247.012,-56.159,8.476
-0.795,-1.055,0.533,245.305,-58.171,9.817
-0.832,-0.995,0.545,242.5,-63.171,9.512
-0.842,-0.952,0.526,239.573,-69.939,9.756
-0.821,-0.922,0.493,238.049,-75.244,11.28
-0.772,-0.879,0.458,238.293,-75.122,13.659
-0.699,-0.827,0.407,237.683,-68.476,17.073
-0.626,-0.766,0.347,236.463,-56.89,21.098
-0.581,-0.687,0.307,235.061,-42.378,26.037
-0.554,-0.579,0.255,230.549,-28.476,30.366
-0.541,-0.485,0.216,221.037,-22.927,33.354
-0.599,-0.404,0.199,209.329,-30.305,34.024
-0.691,-0.35,0.17,201.707,-48.354,33.354
-0.708,-0.295,0.139,196.585,-72.317,30.61
-0.66,-0.24,0.083,190.366,-94.817,27.5
-0.542,-0.189,0.026,183.598,-106.768,26.768
-0.372,-0.121,-0.01,175.244,-104.634,27.561
-0.254,-0.036,-0.045,165.0,-88.598,28.659
-0.161,0.032,-0.101,154.329,-63.598,31.037
-0.084,0.088,-0.145,143.78,-36.341,34.817
-0.051,0.16,-0.178,133.476,-13.78,38.902
-0.036,0.258,-0.194,122.073,0.61,42.683
-0.046,0.342,-0.206,108.171,6.22,44.451
-0.086,0.396,-0.229,92.134,1.89,42.927
-0.122,0.413,-0.224,76.707,-10.305,39.512
-0.122,0.411,-0.2,63.049,-24.817,35.549
-0.067,0.42,-0.159,49.207,-36.524,32.012
0.001,0.452,-0.112,35.61,-41.707,29.085
0.057,0.481,-0.066,22.439,-40.915,26.829
0.114,0.508,-0.01,9.451,-37.439,25.427
0.136,0.536,0.046,-2.317,-32.378,23.659
0.129,0.549,0.082,-12.866,-27.195,20.671
0.1,0.512,0.087,-21.28,-23.415,15.732
0.074,0.438,0.088,-25.549,-21.159,10.122
0.088,0.38,0.105,-26.159,-17.805,7.134
0.123,0.375,0.169,-26.159,-11.402,6.463
0.12,0.404,0.24,-28.598,-3.72,6.463
0.09,0.413,0.293,-31.707,3.963,6.28
0.065,0.411,0.33,-34.817,11.463,5.671
0.037,0.416,0.348,-39.024,17.927,5.183
0.001,0.417,0.355,-45.0,23.11,4.451
-0.04,0.395,0.363,-51.524,24.878,3.841
-0.091,0.359,0.374,-57.988,22.439,3.476
-0.129,0.311,0.386,-62.866,17.195,3.171
-0.125,0.273,0.417,-66.28,11.463,3.598
-0.117,0.294,0.457,-71.341,6.951,3.78
-0.11,0.327,0.452,-78.354,4.268,2.683
-0.066,0.312,0.431,-83.293,6.037,2.866
-0.022,0.301,0.424,-87.927,13.049,3.659
-0.02,0.297,0.393,-95.732,22.317,2.256
-0.01,0.245,0.394,-102.317,32.256,1.098
-0.028,0.198,0.433,-107.927,40.488,1.28
-0.095,0.16,0.444,-114.878,43.476,-0.244
-0.145,0.085,0.439,-119.39,42.5,-1.951
-0.161,0.005,0.427,-119.817,41.829,-1.646
-0.163,-0.02,0.422,-120.732,43.11,-0.854
-0.163,-0.007,0.422,-124.817,48.232,-1.159
-0.144,-0.013,0.453,-130.0,55.549,-0.61
-0.181,-0.014,0.462,-139.39,60.671,-1.22
-0.25,-0.056,0.475,-149.634,57.378,-3.415
-0.334,-0.113,0.547,-156.402,45.61,-5.854
-0.395,-0.139,0.569,-162.073,30.854,-8.841
-0.391,-0.192,0.553,-166.037,19.329,-10.488
-0.389,-0.263,0.542,-167.134,15.427,-9.817
-0.34,-0.329,0.513,-165.61,23.415,-8.841
-0.235,-0.369,0.517,-166.768,42.439,-6.037
-0.238,-0.391,0.556,-172.622,62.683,-3.963
-0.314,-0.447,0.594,-177.805,74.573,-5.854
-0.385,-0.498,0.648,-180.122,77.256,-9.695
