epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1718718424345,2024-06-18T16.47.04.345,0.791,-1.037,-1.098,-0.305
1718718424353,2024-06-18T16.47.04.353,0.799,-1.463,0.000,-1.341
1718718424364,2024-06-18T16.47.04.364,0.810,-1.159,0.488,-1.707
1718718424374,2024-06-18T16.47.04.374,0.820,-1.220,0.915,-1.585
1718718424384,2024-06-18T16.47.04.384,0.830,-1.707,1.402,-1.646
1718718424393,2024-06-18T16.47.04.393,0.839,-2.134,1.524,-1.646
1718718424403,2024-06-18T16.47.04.403,0.849,-2.500,1.159,-1.220
1718718424413,2024-06-18T16.47.04.413,0.859,-2.012,-0.061,-0.976
1718718424422,2024-06-18T16.47.04.422,0.868,-2.012,-0.732,-1.159
1718718424432,2024-06-18T16.47.04.432,0.878,-3.598,-2.073,-1.707
1718718424443,2024-06-18T16.47.04.443,0.889,-5.061,-8.537,-2.927
1718718424453,2024-06-18T16.47.04.453,0.899,-5.061,-17.866,-3.415
1718718424462,2024-06-18T16.47.04.462,0.908,-6.098,-23.780,-3.720
1718718424472,2024-06-18T16.47.04.472,0.918,-7.500,-25.976,-4.634
1718718424482,2024-06-18T16.47.04.482,0.928,-9.268,-26.341,-5.671
1718718424492,2024-06-18T16.47.04.492,0.938,-9.634,-26.280,-5.854
1718718424501,2024-06-18T16.47.04.501,0.947,-8.780,-24.329,-4.939
1718718424512,2024-06-18T16.47.04.512,0.958,-8.476,-20.061,-4.695
1718718424522,2024-06-18T16.47.04.522,0.968,-7.927,-15.305,-4.207
1718718424532,2024-06-18T16.47.04.532,0.978,-6.585,-10.671,-2.744
1718718424541,2024-06-18T16.47.04.541,0.987,-5.244,-5.671,-1.402
1718718424551,2024-06-18T16.47.04.551,0.997,-4.634,-1.159,-0.244
1718718424561,2024-06-18T16.47.04.561,1.007,-4.268,1.037,0.122
1718718424572,2024-06-18T16.47.04.572,1.018,-4.268,0.976,0.061
1718718424580,2024-06-18T16.47.04.580,1.026,-4.390,-0.244,-0.244
1718718424591,2024-06-18T16.47.04.591,1.037,-4.451,-2.439,-0.488
1718718424601,2024-06-18T16.47.04.601,1.047,-4.329,-4.146,-0.549
1718718424611,2024-06-18T16.47.04.611,1.057,-4.512,-4.268,-0.366
1718718424620,2024-06-18T16.47.04.620,1.066,-4.512,-3.659,-0.305
1718718424630,2024-06-18T16.47.04.630,1.076,-4.024,-2.988,-0.061
1718718424640,2024-06-18T16.47.04.640,1.086,-2.927,-2.195,0.244
1718718424649,2024-06-18T16.47.04.649,1.095,-1.890,-0.915,0.549
1718718424659,2024-06-18T16.47.04.659,1.105,-1.524,0.549,0.732
1718718424670,2024-06-18T16.47.04.670,1.116,-1.159,1.341,0.671
1718718424680,2024-06-18T16.47.04.680,1.126,-0.976,1.280,0.427
1718718424689,2024-06-18T16.47.04.689,1.135,-0.610,0.305,0.061
1718718424699,2024-06-18T16.47.04.699,1.145,0.000,-1.402,-0.061
1718718424709,2024-06-18T16.47.04.709,1.155,0.488,-2.622,0.183
1718718424720,2024-06-18T16.47.04.720,1.166,0.488,-2.622,0.305
1718718424728,2024-06-18T16.47.04.728,1.174,0.549,-2.256,0.244
1718718424739,2024-06-18T16.47.04.739,1.185,1.037,-2.439,0.427
1718718424749,2024-06-18T16.47.04.749,1.195,1.037,-2.622,0.244
1718718424759,2024-06-18T16.47.04.759,1.205,0.549,-2.866,-0.061
1718718424768,2024-06-18T16.47.04.768,1.214,0.488,-3.537,-0.183
1718718424778,2024-06-18T16.47.04.778,1.224,1.037,-4.207,0.000
1718718424788,2024-06-18T16.47.04.788,1.234,0.915,-4.207,-0.061
1718718424799,2024-06-18T16.47.04.799,1.245,-0.061,-3.598,-0.671
1718718424807,2024-06-18T16.47.04.807,1.253,-0.732,-3.841,-1.098
1718718424818,2024-06-18T16.47.04.818,1.264,-0.854,-4.756,-1.037
1718718424828,2024-06-18T16.47.04.828,1.274,-0.854,-5.366,-1.098
1718718424838,2024-06-18T16.47.04.838,1.284,-0.976,-5.183,-0.976
1718718424847,2024-06-18T16.47.04.847,1.293,-0.671,-4.268,-0.854
1718718424857,2024-06-18T16.47.04.857,1.303,-0.488,-2.805,-0.610
1718718424867,2024-06-18T16.47.04.867,1.313,-0.122,-1.402,-0.610
1718718424878,2024-06-18T16.47.04.878,1.324,0.549,-0.305,-0.488
1718718424887,2024-06-18T16.47.04.887,1.333,0.488,0.610,-0.549
1718718424897,2024-06-18T16.47.04.897,1.343,0.244,1.098,-0.915
1718718424907,2024-06-18T16.47.04.907,1.353,0.183,1.098,-0.854
1718718424916,2024-06-18T16.47.04.916,1.362,0.183,0.732,-0.427
1718718424926,2024-06-18T16.47.04.926,1.372,0.366,-0.061,0.061
1718718424936,2024-06-18T16.47.04.936,1.382,0.549,-0.488,0.427
1718718424947,2024-06-18T16.47.04.947,1.393,0.427,0.000,0.671
1718718424955,2024-06-18T16.47.04.955,1.401,0.122,0.793,0.793
1718718424966,2024-06-18T16.47.04.966,1.412,-0.122,1.159,0.671
1718718424976,2024-06-18T16.47.04.976,1.422,-0.305,0.488,0.671
1718718424986,2024-06-18T16.47.04.986,1.432,-0.610,-0.183,0.488
1718718424995,2024-06-18T16.47.04.995,1.441,-1.098,-0.488,0.183
1718718425005,2024-06-18T16.47.05.005,1.451,-1.585,-0.854,-0.061
1718718425015,2024-06-18T16.47.05.015,1.461,-1.768,-0.976,-0.061
1718718425026,2024-06-18T16.47.05.026,1.472,-1.768,-0.671,0.244
1718718425034,2024-06-18T16.47.05.034,1.480,-1.646,-0.488,0.366
1718718425045,2024-06-18T16.47.05.045,1.491,-1.402,0.061,0.610
1718718425055,2024-06-18T16.47.05.055,1.501,-0.976,0.610,0.915
1718718425065,2024-06-18T16.47.05.065,1.511,-0.549,1.220,0.976
1718718425074,2024-06-18T16.47.05.074,1.520,-0.427,1.829,0.976
1718718425084,2024-06-18T16.47.05.084,1.530,-0.610,2.134,0.976
1718718425095,2024-06-18T16.47.05.095,1.541,-0.366,2.073,0.793
1718718425105,2024-06-18T16.47.05.105,1.551,-0.305,1.951,0.549
1718718425114,2024-06-18T16.47.05.114,1.560,-0.610,1.890,0.244
1718718425124,2024-06-18T16.47.05.124,1.570,-0.671,2.073,0.122
1718718425134,2024-06-18T16.47.05.134,1.580,-0.610,2.317,0.122
1718718425143,2024-06-18T16.47.05.143,1.589,-0.427,2.256,0.183
1718718425153,2024-06-18T16.47.05.153,1.599,-0.183,1.829,0.366
1718718425163,2024-06-18T16.47.05.163,1.609,0.122,1.402,0.732
1718718425174,2024-06-18T16.47.05.174,1.620,-0.061,1.098,0.976
1718718425182,2024-06-18T16.47.05.182,1.628,-0.305,0.427,0.854
1718718425193,2024-06-18T16.47.05.193,1.639,-0.549,-0.549,0.488
1718718425203,2024-06-18T16.47.05.203,1.649,-0.793,-1.890,0.122
1718718425213,2024-06-18T16.47.05.213,1.659,-0.427,-2.866,0.061
1718718425222,2024-06-18T16.47.05.222,1.668,-0.122,-2.622,0.122
1718718425232,2024-06-18T16.47.05.232,1.678,-0.427,-1.463,-0.305
1718718425242,2024-06-18T16.47.05.242,1.688,-0.671,-0.793,-0.610
1718718425253,2024-06-18T16.47.05.253,1.699,-0.854,-1.585,-0.366
1718718425262,2024-06-18T16.47.05.262,1.708,-0.915,-3.110,-0.366
1718718425272,2024-06-18T16.47.05.272,1.718,-1.890,-5.244,-0.183
1718718425282,2024-06-18T16.47.05.282,1.728,-3.902,-9.512,-0.244
1718718425292,2024-06-18T16.47.05.292,1.738,-6.890,-17.439,-0.976
1718718425301,2024-06-18T16.47.05.301,1.747,-10.610,-31.280,-1.890
1718718425311,2024-06-18T16.47.05.311,1.757,-13.293,-49.390,-4.146
1718718425322,2024-06-18T16.47.05.322,1.768,-14.634,-68.720,-6.280
1718718425332,2024-06-18T16.47.05.332,1.778,-14.878,-86.707,-7.744
1718718425341,2024-06-18T16.47.05.341,1.787,-15.244,-101.341,-10.671
1718718425351,2024-06-18T16.47.05.351,1.797,-12.622,-113.232,-13.841
1718718425361,2024-06-18T16.47.05.361,1.807,-6.707,-115.244,-20.305
1718718425371,2024-06-18T16.47.05.371,1.817,-3.354,-106.159,-27.134
1718718425380,2024-06-18T16.47.05.380,1.826,3.354,-91.524,-35.061
1718718425390,2024-06-18T16.47.05.390,1.836,14.024,-73.659,-43.963
1718718425401,2024-06-18T16.47.05.401,1.847,26.829,-57.622,-50.915
1718718425409,2024-06-18T16.47.05.409,1.855,41.098,-44.573,-56.890
1718718425420,2024-06-18T16.47.05.420,1.866,56.037,-33.232,-61.463
1718718425430,2024-06-18T16.47.05.430,1.876,68.841,-23.232,-65.915
1718718425440,2024-06-18T16.47.05.440,1.886,79.939,-15.549,-70.305
1718718425449,2024-06-18T16.47.05.449,1.895,90.549,-11.524,-73.476
1718718425459,2024-06-18T16.47.05.459,1.905,100.915,-10.854,-74.939
1718718425470,2024-06-18T16.47.05.470,1.916,110.183,-12.622,-75.244
1718718425480,2024-06-18T16.47.05.480,1.926,118.598,-15.671,-75.000
1718718425489,2024-06-18T16.47.05.489,1.935,126.463,-19.573,-75.488
1718718425499,2024-06-18T16.47.05.499,1.945,132.866,-24.756,-75.854
1718718425509,2024-06-18T16.47.05.509,1.955,139.329,-31.646,-75.915
1718718425519,2024-06-18T16.47.05.519,1.965,145.854,-38.902,-75.061
1718718425528,2024-06-18T16.47.05.528,1.974,150.793,-45.854,-73.841
1718718425538,2024-06-18T16.47.05.538,1.984,154.512,-52.805,-73.720
1718718425549,2024-06-18T16.47.05.549,1.995,158.415,-60.732,-73.902
1718718425559,2024-06-18T16.47.05.559,2.005,162.195,-68.841,-74.024
1718718425568,2024-06-18T16.47.05.568,2.014,165.244,-75.549,-75.061
1718718425578,2024-06-18T16.47.05.578,2.024,166.585,-80.671,-76.768
1718718425588,2024-06-18T16.47.05.588,2.034,167.683,-86.768,-78.232
1718718425598,2024-06-18T16.47.05.598,2.044,166.341,-93.720,-79.085
1718718425607,2024-06-18T16.47.05.607,2.053,163.537,-101.890,-80.122
1718718425617,2024-06-18T16.47.05.617,2.063,162.561,-112.500,-81.220
1718718425628,2024-06-18T16.47.05.628,2.074,162.378,-123.354,-82.622
1718718425637,2024-06-18T16.47.05.637,2.083,161.951,-130.488,-84.207
1718718425647,2024-06-18T16.47.05.647,2.093,161.402,-132.988,-85.244
1718718425657,2024-06-18T16.47.05.657,2.103,162.805,-132.317,-85.122
1718718425667,2024-06-18T16.47.05.667,2.113,163.963,-128.841,-84.390
1718718425676,2024-06-18T16.47.05.676,2.122,165.305,-122.012,-82.500
1718718425686,2024-06-18T16.47.05.686,2.132,165.793,-112.927,-81.768
1718718425697,2024-06-18T16.47.05.697,2.143,164.512,-105.244,-81.646
1718718425707,2024-06-18T16.47.05.707,2.153,161.707,-101.890,-81.707
1718718425716,2024-06-18T16.47.05.716,2.162,158.476,-102.683,-83.110
1718718425726,2024-06-18T16.47.05.726,2.172,158.293,-105.244,-84.939
1718718425736,2024-06-18T16.47.05.736,2.182,159.756,-105.976,-85.366
