epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1718554597356,2024-06-16T19.16.37.356,0.000,-0.147,0.935,-0.049
1718554597365,2024-06-16T19.16.37.365,0.009,-0.142,0.940,-0.058
1718554597375,2024-06-16T19.16.37.375,0.019,-0.125,0.931,-0.059
1718554597386,2024-06-16T19.16.37.386,0.030,-0.131,0.929,-0.065
1718554597394,2024-06-16T19.16.37.394,0.038,-0.144,0.937,-0.064
1718554597405,2024-06-16T19.16.37.405,0.049,-0.145,0.934,-0.064
1718554597415,2024-06-16T19.16.37.415,0.059,-0.163,0.938,-0.060
1718554597425,2024-06-16T19.16.37.425,0.069,-0.167,0.949,-0.055
1718554597434,2024-06-16T19.16.37.434,0.078,-0.156,0.951,-0.042
1718554597444,2024-06-16T19.16.37.444,0.088,-0.142,0.950,-0.048
1718554597454,2024-06-16T19.16.37.454,0.098,-0.144,0.956,-0.054
1718554597465,2024-06-16T19.16.37.465,0.109,-0.134,0.968,-0.060
1718554597473,2024-06-16T19.16.37.473,0.117,-0.140,0.965,-0.047
1718554597484,2024-06-16T19.16.37.484,0.128,-0.135,0.962,-0.037
1718554597494,2024-06-16T19.16.37.494,0.138,-0.120,0.970,-0.034
1718554597504,2024-06-16T19.16.37.504,0.148,-0.110,0.977,-0.035
1718554597513,2024-06-16T19.16.37.513,0.157,-0.102,0.977,-0.030
1718554597523,2024-06-16T19.16.37.523,0.167,-0.114,0.975,-0.023
1718554597534,2024-06-16T19.16.37.534,0.178,-0.127,0.978,-0.012
1718554597544,2024-06-16T19.16.37.544,0.188,-0.127,0.969,-0.011
1718554597553,2024-06-16T19.16.37.553,0.197,-0.131,0.966,-0.005
1718554597563,2024-06-16T19.16.37.563,0.207,-0.133,0.972,-0.007
1718554597573,2024-06-16T19.16.37.573,0.217,-0.128,0.970,-0.006
1718554597583,2024-06-16T19.16.37.583,0.227,-0.112,0.971,-0.013
1718554597592,2024-06-16T19.16.37.592,0.236,-0.112,0.975,-0.023
1718554597602,2024-06-16T19.16.37.602,0.246,-0.123,0.975,-0.005
1718554597613,2024-06-16T19.16.37.613,0.257,-0.114,0.976,0.019
1718554597621,2024-06-16T19.16.37.621,0.265,-0.109,0.973,0.026
1718554597632,2024-06-16T19.16.37.632,0.276,-0.113,0.971,0.033
1718554597642,2024-06-16T19.16.37.642,0.286,-0.109,0.974,0.037
1718554597652,2024-06-16T19.16.37.652,0.296,-0.109,0.973,0.076
1718554597661,2024-06-16T19.16.37.661,0.305,-0.081,0.963,0.107
1718554597671,2024-06-16T19.16.37.671,0.315,-0.060,0.954,0.132
1718554597681,2024-06-16T19.16.37.681,0.325,-0.050,0.941,0.158
1718554597692,2024-06-16T19.16.37.692,0.336,-0.018,0.943,0.162
1718554597701,2024-06-16T19.16.37.701,0.345,-0.005,0.940,0.187
1718554597711,2024-06-16T19.16.37.711,0.355,-0.002,0.932,0.221
1718554597721,2024-06-16T19.16.37.721,0.365,-0.003,0.933,0.244
1718554597731,2024-06-16T19.16.37.731,0.375,-0.003,0.925,0.250
1718554597740,2024-06-16T19.16.37.740,0.384,-0.005,0.912,0.262
1718554597750,2024-06-16T19.16.37.750,0.394,-0.019,0.910,0.282
1718554597761,2024-06-16T19.16.37.761,0.405,-0.011,0.930,0.287
1718554597771,2024-06-16T19.16.37.771,0.415,-0.017,0.945,0.287
1718554597780,2024-06-16T19.16.37.780,0.424,-0.067,0.945,0.302
1718554597790,2024-06-16T19.16.37.790,0.434,-0.057,0.949,0.341
1718554597800,2024-06-16T19.16.37.800,0.444,-0.007,0.965,0.369
1718554597810,2024-06-16T19.16.37.810,0.454,0.008,0.988,0.369
1718554597819,2024-06-16T19.16.37.819,0.463,0.071,1.008,0.221
1718554597829,2024-06-16T19.16.37.829,0.473,0.000,1.024,0.106
1718554597840,2024-06-16T19.16.37.840,0.484,-0.175,0.996,0.090
1718554597848,2024-06-16T19.16.37.848,0.492,-0.269,0.989,0.174
1718554597859,2024-06-16T19.16.37.859,0.503,-0.183,0.988,0.347
