epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1718553703026,2024-06-16T19.01.43.026,0.000,-0.440,0.713,-0.311
1718553703036,2024-06-16T19.01.43.036,0.010,-0.361,0.675,-0.271
1718553703045,2024-06-16T19.01.43.045,0.019,-0.313,0.657,-0.250
1718553703055,2024-06-16T19.01.43.055,0.029,-0.190,0.717,-0.260
1718553703066,2024-06-16T19.01.43.066,0.040,0.003,0.790,-0.267
1718553703076,2024-06-16T19.01.43.076,0.050,0.096,0.831,-0.260
1718553703085,2024-06-16T19.01.43.085,0.059,0.092,0.803,-0.266
1718553703095,2024-06-16T19.01.43.095,0.069,0.088,0.761,-0.265
1718553703105,2024-06-16T19.01.43.105,0.079,0.088,0.773,-0.234
1718553703114,2024-06-16T19.01.43.114,0.088,0.067,0.792,-0.203
1718553703124,2024-06-16T19.01.43.124,0.098,0.021,0.804,-0.180
1718553703135,2024-06-16T19.01.43.135,0.109,-0.039,0.820,-0.159
1718553703145,2024-06-16T19.01.43.145,0.119,-0.102,0.839,-0.156
1718553703154,2024-06-16T19.01.43.154,0.128,-0.111,0.847,-0.157
1718553703164,2024-06-16T19.01.43.164,0.138,-0.102,0.825,-0.132
1718553703174,2024-06-16T19.01.43.174,0.148,-0.090,0.788,-0.102
1718553703184,2024-06-16T19.01.43.184,0.158,-0.064,0.763,-0.067
1718553703193,2024-06-16T19.01.43.193,0.167,-0.026,0.743,-0.031
1718553703203,2024-06-16T19.01.43.203,0.177,-0.008,0.730,-0.008
1718553703214,2024-06-16T19.01.43.214,0.188,-0.005,0.722,0.009
1718553703224,2024-06-16T19.01.43.224,0.198,-0.029,0.683,-0.002
1718553703233,2024-06-16T19.01.43.233,0.207,-0.052,0.653,-0.017
1718553703243,2024-06-16T19.01.43.243,0.217,-0.042,0.671,-0.031
1718553703253,2024-06-16T19.01.43.253,0.227,-0.024,0.695,-0.052
1718553703263,2024-06-16T19.01.43.263,0.237,-0.024,0.708,-0.059
1718553703272,2024-06-16T19.01.43.272,0.246,-0.061,0.701,-0.074
1718553703282,2024-06-16T19.01.43.282,0.256,-0.094,0.667,-0.082
1718553703293,2024-06-16T19.01.43.293,0.267,-0.066,0.632,-0.080
1718553703303,2024-06-16T19.01.43.303,0.277,0.000,0.578,-0.062
1718553703312,2024-06-16T19.01.43.312,0.286,0.035,0.509,-0.066
1718553703322,2024-06-16T19.01.43.322,0.296,0.049,0.489,-0.060
1718553703332,2024-06-16T19.01.43.332,0.306,0.068,0.514,-0.058
1718553703343,2024-06-16T19.01.43.343,0.317,0.066,0.594,-0.050
1718553703351,2024-06-16T19.01.43.351,0.325,0.019,0.729,-0.044
1718553703362,2024-06-16T19.01.43.362,0.336,-0.040,0.774,-0.066
1718553703372,2024-06-16T19.01.43.372,0.346,-0.032,0.721,-0.080
1718553703381,2024-06-16T19.01.43.381,0.355,0.019,0.685,-0.089
1718553703391,2024-06-16T19.01.43.391,0.365,0.052,0.627,-0.107
1718553703401,2024-06-16T19.01.43.401,0.375,0.087,0.555,-0.129
1718553703411,2024-06-16T19.01.43.411,0.385,0.116,0.534,-0.133
1718553703420,2024-06-16T19.01.43.420,0.394,0.074,0.604,-0.115
1718553703430,2024-06-16T19.01.43.430,0.404,0.025,0.734,-0.104
1718553703441,2024-06-16T19.01.43.441,0.415,0.031,0.816,-0.116
1718553703451,2024-06-16T19.01.43.451,0.425,0.057,0.784,-0.120
1718553703460,2024-06-16T19.01.43.460,0.434,0.071,0.687,-0.132
1718553703470,2024-06-16T19.01.43.470,0.444,0.112,0.573,-0.134
1718553703480,2024-06-16T19.01.43.480,0.454,0.166,0.524,-0.124
1718553703490,2024-06-16T19.01.43.490,0.464,0.181,0.642,-0.111
1718553703499,2024-06-16T19.01.43.499,0.473,0.125,0.872,-0.126
1718553703510,2024-06-16T19.01.43.510,0.484,0.046,1.001,-0.145
1718553703520,2024-06-16T19.01.43.520,0.494,0.037,0.958,-0.162
1718553703530,2024-06-16T19.01.43.530,0.504,0.063,0.802,-0.171
1718553703539,2024-06-16T19.01.43.539,0.513,0.067,0.703,-0.184
1718553703549,2024-06-16T19.01.43.549,0.523,0.098,0.720,-0.162
