epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1718554214554,2024-06-16T19.10.14.554,0.000,0.138,0.756,-0.153
1718554214563,2024-06-16T19.10.14.563,0.009,0.174,0.809,-0.185
1718554214573,2024-06-16T19.10.14.573,0.019,0.211,0.853,-0.210
1718554214583,2024-06-16T19.10.14.583,0.029,0.174,0.820,-0.190
1718554214593,2024-06-16T19.10.14.593,0.039,0.115,0.728,-0.137
1718554214602,2024-06-16T19.10.14.602,0.048,0.090,0.683,-0.067
1718554214612,2024-06-16T19.10.14.612,0.058,0.074,0.664,-0.004
1718554214623,2024-06-16T19.10.14.623,0.069,0.026,0.628,0.036
1718554214631,2024-06-16T19.10.14.631,0.077,0.024,0.731,0.035
1718554214642,2024-06-16T19.10.14.642,0.088,0.101,0.922,-0.001
1718554214652,2024-06-16T19.10.14.652,0.098,0.143,0.963,-0.005
1718554214662,2024-06-16T19.10.14.662,0.108,0.136,0.892,0.044
1718554214671,2024-06-16T19.10.14.671,0.117,0.157,0.810,0.092
1718554214681,2024-06-16T19.10.14.681,0.127,0.207,0.751,0.107
1718554214691,2024-06-16T19.10.14.691,0.137,0.239,0.743,0.101
1718554214702,2024-06-16T19.10.14.702,0.148,0.277,0.869,0.075
1718554214711,2024-06-16T19.10.14.711,0.157,0.326,1.037,0.049
1718554214721,2024-06-16T19.10.14.721,0.167,0.340,1.081,0.034
1718554214731,2024-06-16T19.10.14.731,0.177,0.295,1.007,0.046
1718554214741,2024-06-16T19.10.14.741,0.187,0.239,0.912,0.082
1718554214750,2024-06-16T19.10.14.750,0.196,0.228,0.860,0.108
1718554214760,2024-06-16T19.10.14.760,0.206,0.167,0.886,0.125
1718554214771,2024-06-16T19.10.14.771,0.217,0.087,0.960,0.133
1718554214781,2024-06-16T19.10.14.781,0.227,0.057,1.070,0.141
1718554214790,2024-06-16T19.10.14.790,0.236,0.072,1.179,0.121
1718554214800,2024-06-16T19.10.14.800,0.246,0.119,1.251,0.078
1718554214810,2024-06-16T19.10.14.810,0.256,0.171,1.219,0.038
1718554214820,2024-06-16T19.10.14.820,0.266,0.220,1.129,0.012
1718554214829,2024-06-16T19.10.14.829,0.275,0.221,1.062,-0.008
