epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1718901487716,2024-06-20T19.38.07.716,0.000,-0.852,-0.080,0.403
1718901487795,2024-06-20T19.38.07.795,0.079,-0.818,-0.042,0.435
1718901487874,2024-06-20T19.38.07.874,0.158,-0.863,-0.003,0.392
1718901487952,2024-06-20T19.38.07.952,0.236,-0.884,0.021,0.411
1718901488031,2024-06-20T19.38.08.031,0.315,-0.901,0.024,0.445
1718901488110,2024-06-20T19.38.08.110,0.394,-0.916,0.028,0.435
1718901488189,2024-06-20T19.38.08.189,0.473,-0.906,0.033,0.414
1718901488268,2024-06-20T19.38.08.268,0.552,-0.897,0.029,0.419
1718901488347,2024-06-20T19.38.08.347,0.631,-0.894,0.033,0.420
1718901488426,2024-06-20T19.38.08.426,0.710,-0.878,0.024,0.413
1718901488505,2024-06-20T19.38.08.505,0.789,-0.898,0.015,0.436
1718901488584,2024-06-20T19.38.08.584,0.868,-0.933,0.021,0.441
1718901488664,2024-06-20T19.38.08.664,0.948,-0.927,0.014,0.421
1718901488743,2024-06-20T19.38.08.743,1.027,-0.905,0.010,0.421
1718901488822,2024-06-20T19.38.08.822,1.106,-0.892,0.011,0.417
1718901488901,2024-06-20T19.38.08.901,1.185,-0.898,0.017,0.418
1718901488978,2024-06-20T19.38.08.978,1.262,-0.901,0.015,0.428
1718901489058,2024-06-20T19.38.09.058,1.342,-0.887,0.006,0.411
1718901489137,2024-06-20T19.38.09.137,1.421,-0.756,-0.149,0.287
1718901489216,2024-06-20T19.38.09.216,1.500,-0.641,-0.419,0.150
1718901489295,2024-06-20T19.38.09.295,1.579,-0.714,-0.439,0.318
1718901489374,2024-06-20T19.38.09.374,1.658,-1.042,-0.223,0.448
1718901489453,2024-06-20T19.38.09.453,1.737,-1.241,0.032,0.444
1718901489532,2024-06-20T19.38.09.532,1.816,-1.377,0.181,0.407
1718901489611,2024-06-20T19.38.09.611,1.895,-1.259,0.319,0.352
1718901489690,2024-06-20T19.38.09.690,1.974,-0.937,0.292,0.356
1718901489770,2024-06-20T19.38.09.770,2.054,-0.826,0.142,0.266
1718901489849,2024-06-20T19.38.09.849,2.133,-0.923,-0.063,0.226
1718901489926,2024-06-20T19.38.09.926,2.210,-0.995,-0.186,0.247
1718901490005,2024-06-20T19.38.10.005,2.289,-0.938,-0.217,0.268
1718901490084,2024-06-20T19.38.10.084,2.368,-0.936,-0.195,0.311
1718901490164,2024-06-20T19.38.10.164,2.448,-0.935,0.024,0.267
1718901490243,2024-06-20T19.38.10.243,2.527,-1.062,0.296,0.335
1718901490322,2024-06-20T19.38.10.322,2.606,-1.179,0.301,0.497
1718901490401,2024-06-20T19.38.10.401,2.685,-1.183,0.246,0.396
1718901490480,2024-06-20T19.38.10.480,2.764,-1.126,0.053,0.286
1718901490559,2024-06-20T19.38.10.559,2.843,-0.923,-0.188,0.251
1718901490638,2024-06-20T19.38.10.638,2.922,-0.893,-0.330,0.180
1718901490717,2024-06-20T19.38.10.717,3.001,-0.878,-0.308,0.308
1718901490796,2024-06-20T19.38.10.796,3.080,-0.770,-0.129,0.354
1718901490874,2024-06-20T19.38.10.874,3.158,-0.788,-0.067,0.400
1718901490953,2024-06-20T19.38.10.953,3.237,-0.797,-0.038,0.442
1718901491032,2024-06-20T19.38.11.032,3.316,-0.888,0.017,0.456
1718901491111,2024-06-20T19.38.11.111,3.395,-0.898,0.030,0.454
1718901491190,2024-06-20T19.38.11.190,3.474,-0.925,0.038,0.438
1718901491270,2024-06-20T19.38.11.270,3.554,-0.951,0.041,0.409
1718901491349,2024-06-20T19.38.11.349,3.633,-0.922,0.046,0.404
1718901491428,2024-06-20T19.38.11.428,3.712,-0.853,0.040,0.426
1718901491507,2024-06-20T19.38.11.507,3.791,-0.877,0.049,0.435
1718901491586,2024-06-20T19.38.11.586,3.870,-0.896,0.046,0.432
1718901491665,2024-06-20T19.38.11.665,3.949,-0.892,0.031,0.407
1718901491744,2024-06-20T19.38.11.744,4.028,-0.883,0.013,0.396
1718901491823,2024-06-20T19.38.11.823,4.107,-0.883,-0.022,0.388
1718901491901,2024-06-20T19.38.11.901,4.185,-0.817,-0.231,0.291
