epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1718719284352,2024-06-18T17.01.24.352,0.000,7.256,28.537,-0.671
1718719284362,2024-06-18T17.01.24.362,0.010,6.890,28.720,0.000
1718719284372,2024-06-18T17.01.24.372,0.020,5.366,32.744,0.122
1718719284381,2024-06-18T17.01.24.381,0.029,1.768,37.500,0.366
1718719284391,2024-06-18T17.01.24.391,0.039,-1.951,41.159,1.402
1718719284401,2024-06-18T17.01.24.401,0.049,-4.939,44.573,2.439
1718719284412,2024-06-18T17.01.24.412,0.060,-6.098,48.171,3.354
1718719284420,2024-06-18T17.01.24.420,0.068,-5.488,53.171,3.537
1718719284431,2024-06-18T17.01.24.431,0.079,-3.841,60.488,2.744
1718719284441,2024-06-18T17.01.24.441,0.089,-2.988,68.780,2.439
1718719284451,2024-06-18T17.01.24.451,0.099,-4.329,75.732,1.280
1718719284460,2024-06-18T17.01.24.460,0.108,-5.793,80.122,0.671
1718719284470,2024-06-18T17.01.24.470,0.118,-5.976,82.500,1.768
1718719284480,2024-06-18T17.01.24.480,0.128,-6.037,84.756,3.659
1718719284491,2024-06-18T17.01.24.491,0.139,-6.890,87.256,3.841
1718719284499,2024-06-18T17.01.24.499,0.147,-8.659,90.244,4.817
1718719284510,2024-06-18T17.01.24.510,0.158,-12.012,93.963,6.341
1718719284520,2024-06-18T17.01.24.520,0.168,-16.098,98.232,7.256
1718719284530,2024-06-18T17.01.24.530,0.178,-20.427,102.012,7.988
1718719284539,2024-06-18T17.01.24.539,0.187,-25.732,105.976,7.622
1718719284549,2024-06-18T17.01.24.549,0.197,-29.085,108.841,7.500
1718719284560,2024-06-18T17.01.24.560,0.208,-29.268,111.098,8.841
1718719284570,2024-06-18T17.01.24.570,0.218,-30.915,113.537,9.512
1718719284579,2024-06-18T17.01.24.579,0.227,-34.695,115.732,10.122
1718719284589,2024-06-18T17.01.24.589,0.237,-37.317,117.256,10.183
1718719284599,2024-06-18T17.01.24.599,0.247,-39.756,118.598,9.024
1718719284609,2024-06-18T17.01.24.609,0.257,-42.805,119.634,8.659
1718719284618,2024-06-18T17.01.24.618,0.266,-43.171,122.073,9.085
1718719284628,2024-06-18T17.01.24.628,0.276,-40.610,127.134,9.573
1718719284639,2024-06-18T17.01.24.639,0.287,-40.610,133.841,8.476
1718719284647,2024-06-18T17.01.24.647,0.295,-41.707,139.695,7.805
1718719284658,2024-06-18T17.01.24.658,0.306,-42.317,142.683,8.293
1718719284668,2024-06-18T17.01.24.668,0.316,-46.098,138.841,8.598
1718719284678,2024-06-18T17.01.24.678,0.326,-49.634,129.390,11.646
1718719284687,2024-06-18T17.01.24.687,0.335,-52.073,121.585,12.744
1718719284697,2024-06-18T17.01.24.697,0.345,-55.854,117.683,12.683
1718719284707,2024-06-18T17.01.24.707,0.355,-56.951,117.134,10.976
1718719284718,2024-06-18T17.01.24.718,0.366,-57.073,123.659,7.134
1718719284727,2024-06-18T17.01.24.727,0.375,-58.171,135.183,4.146
1718719284737,2024-06-18T17.01.24.737,0.385,-59.512,143.171,2.561
1718719284747,2024-06-18T17.01.24.747,0.395,-61.220,141.768,1.585
1718719284757,2024-06-18T17.01.24.757,0.405,-63.049,134.512,0.854
1718719284766,2024-06-18T17.01.24.766,0.414,-66.037,126.463,0.366
1718719284776,2024-06-18T17.01.24.776,0.424,-67.988,119.939,-0.061
1718719284787,2024-06-18T17.01.24.787,0.435,-66.585,119.939,0.854
1718719284797,2024-06-18T17.01.24.797,0.445,-65.366,129.146,2.134
1718719284806,2024-06-18T17.01.24.806,0.454,-67.500,143.110,1.585
1718719284816,2024-06-18T17.01.24.816,0.464,-72.317,149.756,0.488
1718719284826,2024-06-18T17.01.24.826,0.474,-76.402,140.976,-0.976
1718719284836,2024-06-18T17.01.24.836,0.484,-77.805,121.220,-2.622
1718719284845,2024-06-18T17.01.24.845,0.493,-78.720,99.268,-2.805
1718719284855,2024-06-18T17.01.24.855,0.503,-75.488,84.512,0.000
1718719284866,2024-06-18T17.01.24.866,0.514,-70.427,83.841,5.061
1718719284874,2024-06-18T17.01.24.874,0.522,-66.585,97.439,10.610
1718719284885,2024-06-18T17.01.24.885,0.533,-66.220,120.305,14.329
1718719284895,2024-06-18T17.01.24.895,0.543,-66.159,140.122,13.841
1718719284905,2024-06-18T17.01.24.905,0.553,-64.756,147.744,14.207
1718719284914,2024-06-18T17.01.24.914,0.562,-65.366,134.878,12.134
1718719284924,2024-06-18T17.01.24.924,0.572,-64.939,104.207,5.610
1718719284935,2024-06-18T17.01.24.935,0.583,-59.451,74.268,4.695
1718719284945,2024-06-18T17.01.24.945,0.593,-51.951,63.841,11.524
1718719284954,2024-06-18T17.01.24.954,0.602,-46.829,74.695,17.683
1718719284964,2024-06-18T17.01.24.964,0.612,-44.756,95.305,20.854
1718719284974,2024-06-18T17.01.24.974,0.622,-45.061,111.951,21.829
1718719284984,2024-06-18T17.01.24.984,0.632,-44.695,116.951,22.683
1718719284993,2024-06-18T17.01.24.993,0.641,-46.280,108.232,23.415
1718719285003,2024-06-18T17.01.25.003,0.651,-47.378,88.171,25.122
1718719285014,2024-06-18T17.01.25.014,0.662,-43.598,65.366,27.073
1718719285024,2024-06-18T17.01.25.024,0.672,-39.817,50.915,28.232
1718719285033,2024-06-18T17.01.25.033,0.681,-37.744,50.671,30.488
1718719285043,2024-06-18T17.01.25.043,0.691,-36.037,61.646,31.159
1718719285053,2024-06-18T17.01.25.053,0.701,-34.329,75.061,29.878
1718719285063,2024-06-18T17.01.25.063,0.711,-32.866,82.561,27.927
1718719285072,2024-06-18T17.01.25.072,0.720,-32.683,79.817,26.768
1718719285082,2024-06-18T17.01.25.082,0.730,-31.159,68.720,24.695
1718719285093,2024-06-18T17.01.25.093,0.741,-29.573,56.341,24.146
1718719285103,2024-06-18T17.01.25.103,0.751,-26.463,49.634,24.939
1718719285112,2024-06-18T17.01.25.112,0.760,-23.537,52.012,24.512
1718719285122,2024-06-18T17.01.25.122,0.770,-22.073,60.305,22.073
1718719285132,2024-06-18T17.01.25.132,0.780,-21.707,68.780,17.683
1718719285141,2024-06-18T17.01.25.141,0.789,-23.537,74.024,13.598
1718719285151,2024-06-18T17.01.25.151,0.799,-25.732,72.317,10.549
1718719285162,2024-06-18T17.01.25.162,0.810,-27.317,62.317,8.659
1718719285172,2024-06-18T17.01.25.172,0.820,-28.171,46.951,7.866
1718719285181,2024-06-18T17.01.25.181,0.829,-28.232,34.512,8.537
1718719285191,2024-06-18T17.01.25.191,0.839,-27.500,29.878,9.451
1718719285201,2024-06-18T17.01.25.201,0.849,-24.573,31.829,10.305
