epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1718719284341,2024-06-18T17.01.24.341,0.000,0.458,0.007,0.581
1718719284352,2024-06-18T17.01.24.352,0.011,0.444,-0.009,0.606
1718719284362,2024-06-18T17.01.24.362,0.021,0.430,-0.005,0.609
1718719284372,2024-06-18T17.01.24.372,0.031,0.417,0.011,0.583
1718719284381,2024-06-18T17.01.24.381,0.040,0.403,0.020,0.575
1718719284391,2024-06-18T17.01.24.391,0.050,0.395,0.016,0.595
1718719284401,2024-06-18T17.01.24.401,0.060,0.399,-0.003,0.614
1718719284412,2024-06-18T17.01.24.412,0.071,0.386,-0.022,0.614
1718719284420,2024-06-18T17.01.24.420,0.079,0.367,-0.034,0.581
1718719284431,2024-06-18T17.01.24.431,0.090,0.360,-0.030,0.535
1718719284441,2024-06-18T17.01.24.441,0.100,0.341,-0.003,0.518
1718719284451,2024-06-18T17.01.24.451,0.110,0.292,-0.005,0.517
1718719284460,2024-06-18T17.01.24.460,0.119,0.241,-0.031,0.526
1718719284470,2024-06-18T17.01.24.470,0.129,0.207,-0.052,0.528
1718719284480,2024-06-18T17.01.24.480,0.139,0.178,-0.057,0.500
1718719284491,2024-06-18T17.01.24.491,0.150,0.165,-0.058,0.468
1718719284499,2024-06-18T17.01.24.499,0.158,0.173,-0.047,0.486
1718719284510,2024-06-18T17.01.24.510,0.169,0.169,-0.042,0.519
1718719284520,2024-06-18T17.01.24.520,0.179,0.161,-0.045,0.547
1718719284530,2024-06-18T17.01.24.530,0.189,0.136,-0.048,0.576
1718719284539,2024-06-18T17.01.24.539,0.198,0.091,-0.081,0.567
1718719284549,2024-06-18T17.01.24.549,0.208,0.061,-0.117,0.567
1718719284560,2024-06-18T17.01.24.560,0.219,0.052,-0.129,0.606
1718719284570,2024-06-18T17.01.24.570,0.229,0.057,-0.135,0.678
1718719284579,2024-06-18T17.01.24.579,0.238,0.061,-0.159,0.734
1718719284589,2024-06-18T17.01.24.589,0.248,0.028,-0.178,0.757
1718719284599,2024-06-18T17.01.24.599,0.258,-0.025,-0.185,0.784
1718719284608,2024-06-18T17.01.24.608,0.267,-0.053,-0.205,0.819
1718719284618,2024-06-18T17.01.24.618,0.277,-0.059,-0.233,0.827
1718719284628,2024-06-18T17.01.24.628,0.287,-0.080,-0.236,0.823
1718719284639,2024-06-18T17.01.24.639,0.298,-0.107,-0.261,0.818
1718719284647,2024-06-18T17.01.24.647,0.306,-0.135,-0.301,0.841
1718719284658,2024-06-18T17.01.24.658,0.317,-0.183,-0.310,0.875
1718719284668,2024-06-18T17.01.24.668,0.327,-0.244,-0.309,0.934
1718719284678,2024-06-18T17.01.24.678,0.337,-0.262,-0.309,1.011
1718719284687,2024-06-18T17.01.24.687,0.346,-0.242,-0.309,1.016
1718719284697,2024-06-18T17.01.24.697,0.356,-0.240,-0.313,0.963
1718719284707,2024-06-18T17.01.24.707,0.366,-0.218,-0.344,0.926
1718719284718,2024-06-18T17.01.24.718,0.377,-0.185,-0.393,0.918
1718719284727,2024-06-18T17.01.24.727,0.386,-0.208,-0.406,0.929
1718719284737,2024-06-18T17.01.24.737,0.396,-0.291,-0.390,0.968
1718719284747,2024-06-18T17.01.24.747,0.406,-0.386,-0.385,1.011
1718719284757,2024-06-18T17.01.24.757,0.416,-0.432,-0.393,1.035
1718719284766,2024-06-18T17.01.24.766,0.425,-0.465,-0.414,1.005
1718719284776,2024-06-18T17.01.24.776,0.435,-0.464,-0.451,0.950
1718719284787,2024-06-18T17.01.24.787,0.446,-0.391,-0.486,0.909
1718719284797,2024-06-18T17.01.24.797,0.456,-0.345,-0.502,0.888
1718719284806,2024-06-18T17.01.24.806,0.465,-0.369,-0.519,0.915
1718719284816,2024-06-18T17.01.24.816,0.475,-0.474,-0.519,0.954
1718719284826,2024-06-18T17.01.24.826,0.485,-0.602,-0.509,1.005
1718719284836,2024-06-18T17.01.24.836,0.495,-0.657,-0.519,1.016
1718719284845,2024-06-18T17.01.24.845,0.504,-0.642,-0.562,0.992
1718719284855,2024-06-18T17.01.24.855,0.514,-0.562,-0.599,0.952
1718719284866,2024-06-18T17.01.24.866,0.525,-0.495,-0.594,0.888
1718719284874,2024-06-18T17.01.24.874,0.533,-0.468,-0.575,0.880
1718719284885,2024-06-18T17.01.24.885,0.544,-0.462,-0.615,0.930
1718719284895,2024-06-18T17.01.24.895,0.554,-0.545,-0.700,1.009
1718719284905,2024-06-18T17.01.24.905,0.564,-0.645,-0.688,1.060
1718719284914,2024-06-18T17.01.24.914,0.573,-0.766,-0.621,1.065
1718719284924,2024-06-18T17.01.24.924,0.583,-0.828,-0.626,1.018
1718719284935,2024-06-18T17.01.24.935,0.594,-0.722,-0.677,0.947
1718719284945,2024-06-18T17.01.24.945,0.604,-0.602,-0.688,0.926
1718719284954,2024-06-18T17.01.24.954,0.613,-0.567,-0.666,0.925
1718719284964,2024-06-18T17.01.24.964,0.623,-0.611,-0.653,0.927
1718719284974,2024-06-18T17.01.24.974,0.633,-0.666,-0.678,0.930
1718719284984,2024-06-18T17.01.24.984,0.643,-0.735,-0.691,0.914
1718719284993,2024-06-18T17.01.24.993,0.652,-0.804,-0.671,0.876
1718719285003,2024-06-18T17.01.25.003,0.662,-0.809,-0.659,0.852
1718719285014,2024-06-18T17.01.25.014,0.673,-0.747,-0.622,0.823
1718719285024,2024-06-18T17.01.25.024,0.683,-0.701,-0.583,0.792
1718719285033,2024-06-18T17.01.25.033,0.692,-0.652,-0.589,0.805
1718719285043,2024-06-18T17.01.25.043,0.702,-0.627,-0.596,0.834
1718719285053,2024-06-18T17.01.25.053,0.712,-0.641,-0.616,0.857
1718719285063,2024-06-18T17.01.25.063,0.722,-0.689,-0.618,0.849
1718719285072,2024-06-18T17.01.25.072,0.731,-0.749,-0.599,0.818
1718719285082,2024-06-18T17.01.25.082,0.741,-0.760,-0.581,0.769
1718719285093,2024-06-18T17.01.25.093,0.752,-0.715,-0.574,0.710
1718719285102,2024-06-18T17.01.25.102,0.761,-0.646,-0.541,0.653
1718719285112,2024-06-18T17.01.25.112,0.771,-0.602,-0.504,0.606
1718719285122,2024-06-18T17.01.25.122,0.781,-0.596,-0.487,0.581
1718719285132,2024-06-18T17.01.25.132,0.791,-0.617,-0.492,0.603
1718719285141,2024-06-18T17.01.25.141,0.800,-0.651,-0.528,0.638
1718719285151,2024-06-18T17.01.25.151,0.810,-0.699,-0.539,0.657
1718719285162,2024-06-18T17.01.25.162,0.821,-0.751,-0.525,0.666
1718719285172,2024-06-18T17.01.25.172,0.831,-0.783,-0.521,0.665
1718719285181,2024-06-18T17.01.25.181,0.840,-0.752,-0.525,0.654
1718719285191,2024-06-18T17.01.25.191,0.850,-0.699,-0.543,0.635
1718719285201,2024-06-18T17.01.25.201,0.860,-0.690,-0.550,0.614
1718719285211,2024-06-18T17.01.25.211,0.870,-0.700,-0.552,0.606
1718719285220,2024-06-18T17.01.25.220,0.879,-0.706,-0.567,0.607
1718719285230,2024-06-18T17.01.25.230,0.889,-0.722,-0.571,0.597
1718719285241,2024-06-18T17.01.25.241,0.900,-0.753,-0.554,0.570
1718719285251,2024-06-18T17.01.25.251,0.910,-0.777,-0.540,0.555
1718719285260,2024-06-18T17.01.25.260,0.919,-0.781,-0.530,0.537
1718719285270,2024-06-18T17.01.25.270,0.929,-0.776,-0.529,0.507
1718719285280,2024-06-18T17.01.25.280,0.939,-0.779,-0.530,0.482
1718719285290,2024-06-18T17.01.25.290,0.949,-0.778,-0.531,0.469
1718719285299,2024-06-18T17.01.25.299,0.958,-0.768,-0.534,0.457
1718719285310,2024-06-18T17.01.25.310,0.969,-0.756,-0.541,0.454
1718719285320,2024-06-18T17.01.25.320,0.979,-0.761,-0.541,0.453
1718719285330,2024-06-18T17.01.25.330,0.989,-0.777,-0.534,0.453
1718719285339,2024-06-18T17.01.25.339,0.998,-0.780,-0.536,0.446
1718719285349,2024-06-18T17.01.25.349,1.008,-0.782,-0.538,0.438
1718719285359,2024-06-18T17.01.25.359,1.018,-0.785,-0.534,0.435
1718719285370,2024-06-18T17.01.25.370,1.029,-0.778,-0.529,0.439
