x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
-0.571,-0.88,-0.229,53.415,-34.573,-37.561
-0.625,-0.874,-0.223,53.11,-34.695,-37.195
-0.667,-0.87,-0.221,50.488,-38.049,-35.366
-0.682,-0.879,-0.225,46.829,-41.768,-33.476
-0.66,-0.891,-0.215,44.39,-41.707,-31.768
-0.607,-0.891,-0.197,41.829,-39.024,-30.488
-0.583,-0.894,-0.179,39.573,-35.61,-28.354
-0.596,-0.893,-0.167,37.012,-33.049,-25.061
-0.597,-0.877,-0.157,33.293,-30.549,-22.866
-0.588,-0.873,-0.136,30.183,-26.89,-21.341
-0.585,-0.872,-0.119,27.317,-24.39,-20.244
-0.563,-0.858,-0.089,24.207,-21.402,-20.061
-0.524,-0.859,-0.048,23.049,-17.805,-19.329
-0.537,-0.864,-0.042,22.195,-14.268,-16.707
-0.564,-0.87,-0.054,20.732,-11.585,-14.024
-0.566,-0.878,-0.081,19.451,-8.598,-11.28
-0.524,-0.873,-0.099,17.744,-7.378,-10.0
-0.514,-0.87,-0.083,16.341,-9.146,-9.085
-0.548,-0.871,-0.048,15.793,-12.439,-6.585
-0.556,-0.869,-0.029,15.0,-14.146,-4.878
-0.521,-0.877,-0.009,14.085,-11.524,-3.476
-0.471,-0.887,0.01,13.537,-5.305,-2.317
-0.449,-0.885,0.011,12.622,4.024,-0.366
-0.449,-0.888,-0.001,11.341,12.683,1.524
-0.461,-0.886,-0.011,9.695,17.134,2.073
-0.5,-0.872,-0.036,7.988,17.134,3.11
-0.521,-0.855,-0.067,5.183,14.451,4.024
-0.515,-0.856,-0.089,1.707,11.28,4.512
-0.511,-0.86,-0.101,-2.073,9.39,5.915
-0.516,-0.867,-0.106,-6.829,9.756,8.11
-0.518,-0.885,-0.098,-12.012,12.744,11.037
-0.515,-0.907,-0.103,-17.5,18.902,15.0
-0.527,-0.919,-0.12,-24.085,27.927,19.451
-0.55,-0.933,-0.155,-31.951,38.415,24.695
-0.554,-0.936,-0.203,-41.037,48.659,31.037
-0.594,-0.934,-0.24,-51.89,56.22,37.5
-0.667,-0.956,-0.277,-63.232,59.024,43.659
-0.77,-0.982,-0.333,-75.366,53.354,49.939
-0.848,-0.983,-0.379,-89.756,41.585,56.22
-0.892,-0.981,-0.425,-105.366,35.549,63.476
-0.921,-1.008,-0.437,-121.22,45.305,74.146
-0.941,-1.071,-0.464,-136.89,62.012,84.329
-1.065,-1.108,-0.52,-153.963,78.598,92.927
-1.183,-1.129,-0.591,-173.293,95.0,102.622
-1.194,-1.149,-0.662,-192.012,116.159,112.805
-1.179,-1.17,-0.715,-208.598,135.427,123.72
-1.236,-1.156,-0.776,-224.756,144.268,132.378
-1.325,-1.119,-0.796,-240.488,142.012,139.146
-1.372,-1.095,-0.768,-253.354,130.61,145.61
-1.381,-1.075,-0.739,-263.598,112.256,152.195
-1.371,-1.051,-0.735,-271.951,89.756,160.732
-1.352,-1.025,-0.764,-277.988,67.378,169.634
-1.304,-0.988,-0.814,-282.683,49.268,177.317
-1.25,-0.946,-0.866,-286.22,37.744,183.415
-1.191,-0.928,-0.911,-287.805,34.085,188.78
-1.07,-0.924,-0.925,-286.951,41.89,194.39
-0.941,-0.903,-0.936,-284.634,61.22,199.817
-0.917,-0.839,-0.984,-283.963,79.39,203.049
-0.951,-0.786,-0.999,-285.244,85.732,201.159
-0.953,-0.756,-0.966,-284.695,84.756,199.634
-0.871,-0.724,-0.968,-282.744,79.756,200.366
-0.783,-0.666,-0.94,-282.683,71.646,199.329
-0.77,-0.625,-0.895,-282.439,65.061,198.963
-0.761,-0.589,-0.856,-282.5,61.524,197.256
-0.706,-0.572,-0.832,-281.28,60.305,192.439
-0.591,-0.566,-0.814,-277.988,62.744,188.293
-0.484,-0.531,-0.797,-275.366,66.28,183.72
-0.432,-0.482,-0.732,-272.073,73.659,177.744
-0.4,-0.436,-0.669,-266.159,84.573,171.402
-0.333,-0.366,-0.604,-260.061,97.378,162.927
-0.27,-0.279,-0.609,-254.207,106.646,154.512
-0.273,-0.179,-0.602,-249.695,104.939,142.134
-0.319,-0.086,-0.566,-246.524,94.817,130.183
-0.379,-0.042,-0.558,-242.073,75.732,120.366
-0.428,-0.016,-0.536,-236.89,50.671,111.585
-0.45,0.002,-0.516,-233.171,24.756,105.061
-0.37,0.012,-0.475,-228.537,7.683,99.207
