epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1718551074637,2024-06-16T18.17.54.637,0.000,-0.611,-0.798,-0.349
1718551074645,2024-06-16T18.17.54.645,0.008,-0.617,-0.812,-0.313
1718551074656,2024-06-16T18.17.54.656,0.019,-0.604,-0.809,-0.282
1718551074666,2024-06-16T18.17.54.666,0.029,-0.602,-0.817,-0.269
1718551074676,2024-06-16T18.17.54.676,0.039,-0.593,-0.836,-0.285
1718551074685,2024-06-16T18.17.54.685,0.048,-0.574,-0.833,-0.306
1718551074695,2024-06-16T18.17.54.695,0.058,-0.549,-0.826,-0.326
1718551074705,2024-06-16T18.17.54.705,0.068,-0.521,-0.823,-0.346
1718551074716,2024-06-16T18.17.54.716,0.079,-0.520,-0.813,-0.356
1718551074724,2024-06-16T18.17.54.724,0.087,-0.529,-0.820,-0.327
1718551074735,2024-06-16T18.17.54.735,0.098,-0.542,-0.831,-0.269
1718551074745,2024-06-16T18.17.54.745,0.108,-0.552,-0.834,-0.211
1718551074755,2024-06-16T18.17.54.755,0.118,-0.552,-0.847,-0.186
1718551074764,2024-06-16T18.17.54.764,0.127,-0.506,-0.877,-0.176
1718551074774,2024-06-16T18.17.54.774,0.137,-0.451,-0.897,-0.203
1718551074785,2024-06-16T18.17.54.785,0.148,-0.443,-0.904,-0.243
1718551074795,2024-06-16T18.17.54.795,0.158,-0.433,-0.889,-0.272
1718551074804,2024-06-16T18.17.54.804,0.167,-0.405,-0.875,-0.286
1718551074814,2024-06-16T18.17.54.814,0.177,-0.404,-0.871,-0.285
1718551074824,2024-06-16T18.17.54.824,0.187,-0.433,-0.871,-0.273
1718551074834,2024-06-16T18.17.54.834,0.197,-0.446,-0.875,-0.223
1718551074843,2024-06-16T18.17.54.843,0.206,-0.450,-0.877,-0.159
1718551074853,2024-06-16T18.17.54.853,0.216,-0.490,-0.887,-0.131
1718551074864,2024-06-16T18.17.54.864,0.227,-0.503,-0.893,-0.131
1718551074872,2024-06-16T18.17.54.872,0.235,-0.483,-0.897,-0.136
1718551074883,2024-06-16T18.17.54.883,0.246,-0.454,-0.901,-0.146
1718551074893,2024-06-16T18.17.54.893,0.256,-0.452,-0.905,-0.172
1718551074903,2024-06-16T18.17.54.903,0.266,-0.446,-0.904,-0.192
1718551074912,2024-06-16T18.17.54.912,0.275,-0.438,-0.896,-0.207
1718551074922,2024-06-16T18.17.54.922,0.285,-0.424,-0.888,-0.204
1718551074932,2024-06-16T18.17.54.932,0.295,-0.422,-0.888,-0.181
1718551074943,2024-06-16T18.17.54.943,0.306,-0.444,-0.885,-0.150
1718551074952,2024-06-16T18.17.54.952,0.315,-0.468,-0.878,-0.128
1718551074962,2024-06-16T18.17.54.962,0.325,-0.486,-0.873,-0.114
1718551074972,2024-06-16T18.17.54.972,0.335,-0.505,-0.868,-0.121
1718551074982,2024-06-16T18.17.54.982,0.345,-0.525,-0.858,-0.145
1718551074991,2024-06-16T18.17.54.991,0.354,-0.520,-0.854,-0.173
1718551075001,2024-06-16T18.17.55.001,0.364,-0.507,-0.858,-0.166
1718551075012,2024-06-16T18.17.55.012,0.375,-0.493,-0.871,-0.146
1718551075022,2024-06-16T18.17.55.022,0.385,-0.475,-0.888,-0.132
1718551075031,2024-06-16T18.17.55.031,0.394,-0.465,-0.889,-0.121
1718551075041,2024-06-16T18.17.55.041,0.404,-0.495,-0.880,-0.137
1718551075051,2024-06-16T18.17.55.051,0.414,-0.497,-0.876,-0.144
1718551075061,2024-06-16T18.17.55.061,0.424,-0.482,-0.879,-0.144
1718551075070,2024-06-16T18.17.55.070,0.433,-0.501,-0.881,-0.168
1718551075080,2024-06-16T18.17.55.080,0.443,-0.503,-0.874,-0.192
1718551075091,2024-06-16T18.17.55.091,0.454,-0.476,-0.863,-0.207
1718551075099,2024-06-16T18.17.55.099,0.462,-0.474,-0.875,-0.238
1718551075110,2024-06-16T18.17.55.110,0.473,-0.501,-0.888,-0.298
1718551075120,2024-06-16T18.17.55.120,0.483,-0.521,-0.874,-0.358
1718551075130,2024-06-16T18.17.55.130,0.493,-0.545,-0.853,-0.426
