epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1718551841382,2024-06-16T18.30.41.382,0.000,-1.149,-1.404,-1.341
1718551841392,2024-06-16T18.30.41.392,0.010,-1.024,-1.396,-1.413
1718551841401,2024-06-16T18.30.41.401,0.019,-0.895,-1.392,-1.436
1718551841411,2024-06-16T18.30.41.411,0.029,-0.814,-1.409,-1.267
1718551841422,2024-06-16T18.30.41.422,0.040,-0.774,-1.389,-1.050
1718551841432,2024-06-16T18.30.41.432,0.050,-0.711,-1.282,-0.871
1718551841441,2024-06-16T18.30.41.441,0.059,-0.686,-1.162,-0.809
1718551841451,2024-06-16T18.30.41.451,0.069,-0.662,-1.091,-0.855
1718551841461,2024-06-16T18.30.41.461,0.079,-0.567,-1.073,-0.862
1718551841470,2024-06-16T18.30.41.470,0.088,-0.492,-1.061,-0.741
1718551841480,2024-06-16T18.30.41.480,0.098,-0.462,-1.030,-0.594
1718551841490,2024-06-16T18.30.41.490,0.108,-0.453,-0.957,-0.531
1718551841501,2024-06-16T18.30.41.501,0.119,-0.442,-0.919,-0.420
1718551841509,2024-06-16T18.30.41.509,0.127,-0.341,-0.839,-0.324
1718551841520,2024-06-16T18.30.41.520,0.138,-0.245,-0.695,-0.292
1718551841530,2024-06-16T18.30.41.530,0.148,-0.267,-0.569,-0.208
1718551841540,2024-06-16T18.30.41.540,0.158,-0.277,-0.466,-0.027
1718551841549,2024-06-16T18.30.41.549,0.167,-0.195,-0.370,0.220
1718551841559,2024-06-16T18.30.41.559,0.177,-0.152,-0.249,0.374
1718551841570,2024-06-16T18.30.41.570,0.188,-0.126,-0.107,0.551
1718551841580,2024-06-16T18.30.41.580,0.198,-0.087,0.024,0.782
1718551841589,2024-06-16T18.30.41.589,0.207,-0.001,0.101,1.112
1718551841599,2024-06-16T18.30.41.599,0.217,0.124,0.133,1.367
1718551841609,2024-06-16T18.30.41.609,0.227,0.214,0.180,1.423
1718551841619,2024-06-16T18.30.41.619,0.237,0.310,0.195,1.428
1718551841628,2024-06-16T18.30.41.628,0.246,0.419,0.198,1.312
1718551841638,2024-06-16T18.30.41.638,0.256,0.493,0.235,1.131
1718551841649,2024-06-16T18.30.41.649,0.267,0.500,0.266,0.951
1718551841659,2024-06-16T18.30.41.659,0.277,0.309,0.329,0.782
1718551841668,2024-06-16T18.30.41.668,0.286,0.039,0.407,0.580
1718551841678,2024-06-16T18.30.41.678,0.296,-0.148,0.443,0.389
1718551841688,2024-06-16T18.30.41.688,0.306,-0.158,0.469,0.316
1718551841697,2024-06-16T18.30.41.697,0.315,-0.093,0.484,0.297
1718551841707,2024-06-16T18.30.41.707,0.325,-0.082,0.490,0.235
1718551841717,2024-06-16T18.30.41.717,0.335,-0.026,0.519,0.188
1718551841728,2024-06-16T18.30.41.728,0.346,0.102,0.528,0.264
1718551841737,2024-06-16T18.30.41.737,0.355,0.166,0.463,0.444
1718551841747,2024-06-16T18.30.41.747,0.365,0.212,0.349,0.519
1718551841757,2024-06-16T18.30.41.757,0.375,0.219,0.270,0.498
1718551841767,2024-06-16T18.30.41.767,0.385,0.123,0.202,0.468
