epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1718548914621,2024-06-16T17.41.54.621,0.000,-0.340,-0.884,0.259
1718548914630,2024-06-16T17.41.54.630,0.009,-0.359,-0.889,0.299
1718548914640,2024-06-16T17.41.54.640,0.019,-0.391,-0.882,0.315
1718548914650,2024-06-16T17.41.54.650,0.029,-0.404,-0.885,0.302
1718548914661,2024-06-16T17.41.54.661,0.040,-0.429,-0.898,0.265
1718548914670,2024-06-16T17.41.54.670,0.049,-0.473,-0.915,0.211
1718548914680,2024-06-16T17.41.54.680,0.059,-0.499,-0.924,0.158
1718548914690,2024-06-16T17.41.54.690,0.069,-0.519,-0.925,0.109
1718548914700,2024-06-16T17.41.54.700,0.079,-0.566,-0.921,0.088
1718548914709,2024-06-16T17.41.54.709,0.088,-0.624,-0.911,0.075
1718548914719,2024-06-16T17.41.54.719,0.098,-0.671,-0.902,0.063
1718548914730,2024-06-16T17.41.54.730,0.109,-0.698,-0.901,0.029
1718548914740,2024-06-16T17.41.54.740,0.119,-0.742,-0.887,-0.018
1718548914749,2024-06-16T17.41.54.749,0.128,-0.820,-0.870,-0.059
1718548914759,2024-06-16T17.41.54.759,0.138,-0.894,-0.870,-0.093
1718548914769,2024-06-16T17.41.54.769,0.148,-0.900,-0.913,-0.133
1718548914779,2024-06-16T17.41.54.779,0.158,-0.898,-0.960,-0.167
1718548914788,2024-06-16T17.41.54.788,0.167,-0.903,-1.002,-0.202
1718548914798,2024-06-16T17.41.54.798,0.177,-0.905,-1.035,-0.247
1718548914809,2024-06-16T17.41.54.809,0.188,-0.972,-1.063,-0.363
1718548914819,2024-06-16T17.41.54.819,0.198,-1.092,-1.079,-0.503
1718548914828,2024-06-16T17.41.54.828,0.207,-1.188,-1.097,-0.611
1718548914838,2024-06-16T17.41.54.838,0.217,-1.228,-1.123,-0.701
1718548914848,2024-06-16T17.41.54.848,0.227,-1.279,-1.167,-0.771
1718548914857,2024-06-16T17.41.54.857,0.236,-1.352,-1.191,-0.809
1718548914867,2024-06-16T17.41.54.867,0.246,-1.421,-1.186,-0.857
1718548914878,2024-06-16T17.41.54.878,0.257,-1.458,-1.136,-0.896
1718548914888,2024-06-16T17.41.54.888,0.267,-1.431,-1.100,-0.902
1718548914897,2024-06-16T17.41.54.897,0.276,-1.318,-1.095,-0.940
1718548914907,2024-06-16T17.41.54.907,0.286,-1.249,-1.075,-1.021
