epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1718726094524,2024-06-18T18.54.54.524,0.000,-0.427,-0.805,0.358
1718726094534,2024-06-18T18.54.54.534,0.010,-0.440,-0.808,0.367
1718726094543,2024-06-18T18.54.54.543,0.019,-0.460,-0.803,0.369
1718726094553,2024-06-18T18.54.54.553,0.029,-0.470,-0.797,0.362
1718726094563,2024-06-18T18.54.54.563,0.039,-0.482,-0.781,0.349
1718726094574,2024-06-18T18.54.54.574,0.050,-0.510,-0.762,0.339
1718726094582,2024-06-18T18.54.54.582,0.058,-0.550,-0.746,0.321
1718726094593,2024-06-18T18.54.54.593,0.069,-0.520,-0.737,0.316
1718726094603,2024-06-18T18.54.54.603,0.079,-0.504,-0.727,0.312
1718726094613,2024-06-18T18.54.54.613,0.089,-0.501,-0.727,0.314
1718726094622,2024-06-18T18.54.54.622,0.098,-0.510,-0.727,0.323
1718726094632,2024-06-18T18.54.54.632,0.108,-0.543,-0.726,0.325
1718726094643,2024-06-18T18.54.54.643,0.119,-0.579,-0.730,0.333
1718726094651,2024-06-18T18.54.54.651,0.127,-0.554,-0.735,0.341
1718726094662,2024-06-18T18.54.54.662,0.138,-0.534,-0.738,0.349
1718726094672,2024-06-18T18.54.54.672,0.148,-0.558,-0.746,0.353
1718726094682,2024-06-18T18.54.54.682,0.158,-0.579,-0.753,0.361
1718726094691,2024-06-18T18.54.54.691,0.167,-0.586,-0.745,0.373
1718726094701,2024-06-18T18.54.54.701,0.177,-0.600,-0.722,0.380
1718726094711,2024-06-18T18.54.54.711,0.187,-0.626,-0.701,0.375
1718726094722,2024-06-18T18.54.54.722,0.198,-0.643,-0.694,0.354
1718726094730,2024-06-18T18.54.54.730,0.206,-0.637,-0.696,0.334
1718726094741,2024-06-18T18.54.54.741,0.217,-0.616,-0.706,0.331
1718726094751,2024-06-18T18.54.54.751,0.227,-0.620,-0.714,0.323
1718726094761,2024-06-18T18.54.54.761,0.237,-0.625,-0.714,0.321
1718726094770,2024-06-18T18.54.54.770,0.246,-0.639,-0.715,0.328
1718726094780,2024-06-18T18.54.54.780,0.256,-0.658,-0.710,0.337
1718726094790,2024-06-18T18.54.54.790,0.266,-0.680,-0.698,0.340
1718726094801,2024-06-18T18.54.54.801,0.277,-0.691,-0.692,0.346
1718726094810,2024-06-18T18.54.54.810,0.286,-0.707,-0.683,0.351
1718726094820,2024-06-18T18.54.54.820,0.296,-0.695,-0.678,0.354
1718726094830,2024-06-18T18.54.54.830,0.306,-0.662,-0.674,0.364
1718726094840,2024-06-18T18.54.54.840,0.316,-0.655,-0.673,0.358
1718726094849,2024-06-18T18.54.54.849,0.325,-0.640,-0.689,0.337
1718726094859,2024-06-18T18.54.54.859,0.335,-0.628,-0.691,0.333
1718726094870,2024-06-18T18.54.54.870,0.346,-0.631,-0.688,0.329
1718726094880,2024-06-18T18.54.54.880,0.356,-0.640,-0.699,0.318
1718726094889,2024-06-18T18.54.54.889,0.365,-0.631,-0.700,0.319
1718726094899,2024-06-18T18.54.54.899,0.375,-0.617,-0.691,0.323
1718726094909,2024-06-18T18.54.54.909,0.385,-0.602,-0.699,0.315
1718726094918,2024-06-18T18.54.54.918,0.394,-0.600,-0.711,0.308
1718726094928,2024-06-18T18.54.54.928,0.404,-0.588,-0.709,0.311
1718726094938,2024-06-18T18.54.54.938,0.414,-0.584,-0.708,0.314
1718726094949,2024-06-18T18.54.54.949,0.425,-0.604,-0.710,0.317
1718726094957,2024-06-18T18.54.54.957,0.433,-0.624,-0.705,0.322
1718726094968,2024-06-18T18.54.54.968,0.444,-0.633,-0.702,0.320
1718726094978,2024-06-18T18.54.54.978,0.454,-0.631,-0.702,0.318
1718726094988,2024-06-18T18.54.54.988,0.464,-0.637,-0.688,0.319
1718726094997,2024-06-18T18.54.54.997,0.473,-0.645,-0.688,0.313
1718726095007,2024-06-18T18.54.55.007,0.483,-0.645,-0.694,0.304
1718726095018,2024-06-18T18.54.55.018,0.494,-0.646,-0.700,0.295
1718726095028,2024-06-18T18.54.55.028,0.504,-0.656,-0.708,0.293
1718726095037,2024-06-18T18.54.55.037,0.513,-0.654,-0.714,0.300
1718726095047,2024-06-18T18.54.55.047,0.523,-0.648,-0.721,0.305
1718726095057,2024-06-18T18.54.55.057,0.533,-0.639,-0.728,0.307
1718726095067,2024-06-18T18.54.55.067,0.543,-0.627,-0.737,0.311
1718726095076,2024-06-18T18.54.55.076,0.552,-0.617,-0.748,0.310
1718726095086,2024-06-18T18.54.55.086,0.562,-0.622,-0.747,0.304
1718726095097,2024-06-18T18.54.55.097,0.573,-0.629,-0.744,0.307
1718726095107,2024-06-18T18.54.55.107,0.583,-0.631,-0.746,0.314
1718726095116,2024-06-18T18.54.55.116,0.592,-0.631,-0.752,0.318
1718726095126,2024-06-18T18.54.55.126,0.602,-0.640,-0.757,0.312
1718726095136,2024-06-18T18.54.55.136,0.612,-0.638,-0.771,0.307
1718726095146,2024-06-18T18.54.55.146,0.622,-0.628,-0.794,0.303
1718726095155,2024-06-18T18.54.55.155,0.631,-0.637,-0.832,0.279
1718726095165,2024-06-18T18.54.55.165,0.641,-0.651,-0.863,0.254
1718726095176,2024-06-18T18.54.55.176,0.652,-0.634,-0.875,0.240
1718726095185,2024-06-18T18.54.55.185,0.661,-0.612,-0.873,0.232
1718726095195,2024-06-18T18.54.55.195,0.671,-0.623,-0.849,0.233
1718726095205,2024-06-18T18.54.55.205,0.681,-0.638,-0.846,0.259
1718726095215,2024-06-18T18.54.55.215,0.691,-0.625,-0.901,0.277
1718726095224,2024-06-18T18.54.55.224,0.700,-0.612,-0.965,0.263
1718726095234,2024-06-18T18.54.55.234,0.710,-0.591,-0.995,0.243
1718726095245,2024-06-18T18.54.55.245,0.721,-0.555,-1.022,0.221
1718726095255,2024-06-18T18.54.55.255,0.731,-0.549,-1.061,0.221
1718726095264,2024-06-18T18.54.55.264,0.740,-0.572,-1.099,0.217
1718726095274,2024-06-18T18.54.55.274,0.750,-0.612,-1.121,0.208
1718726095284,2024-06-18T18.54.55.284,0.760,-0.672,-1.119,0.216
1718726095294,2024-06-18T18.54.55.294,0.770,-0.726,-1.115,0.227
1718726095303,2024-06-18T18.54.55.303,0.779,-0.742,-1.137,0.222
1718726095313,2024-06-18T18.54.55.313,0.789,-0.761,-1.167,0.217
1718726095324,2024-06-18T18.54.55.324,0.800,-0.797,-1.198,0.210
1718726095334,2024-06-18T18.54.55.334,0.810,-0.816,-1.223,0.219
1718726095343,2024-06-18T18.54.55.343,0.819,-0.801,-1.223,0.218
1718726095353,2024-06-18T18.54.55.353,0.829,-0.790,-1.219,0.179
1718726095363,2024-06-18T18.54.55.363,0.839,-0.858,-1.197,0.146
1718726095373,2024-06-18T18.54.55.373,0.849,-0.910,-1.147,0.159
1718726095382,2024-06-18T18.54.55.382,0.858,-0.926,-1.103,0.173
1718726095393,2024-06-18T18.54.55.393,0.869,-0.912,-1.104,0.196
1718726095403,2024-06-18T18.54.55.403,0.879,-0.876,-1.098,0.241
1718726095412,2024-06-18T18.54.55.412,0.888,-0.842,-1.014,0.256
1718726095422,2024-06-18T18.54.55.422,0.898,-0.825,-0.934,0.210
1718726095432,2024-06-18T18.54.55.432,0.908,-0.863,-0.900,0.175
1718726095442,2024-06-18T18.54.55.442,0.918,-0.888,-0.849,0.185
1718726095451,2024-06-18T18.54.55.451,0.927,-0.917,-0.771,0.177
1718726095461,2024-06-18T18.54.55.461,0.937,-1.019,-0.693,0.167
1718726095472,2024-06-18T18.54.55.472,0.948,-1.028,-0.618,0.179
1718726095482,2024-06-18T18.54.55.482,0.958,-0.994,-0.514,0.225
1718726095491,2024-06-18T18.54.55.491,0.967,-0.904,-0.435,0.217
1718726095501,2024-06-18T18.54.55.501,0.977,-0.830,-0.395,0.194
1718726095511,2024-06-18T18.54.55.511,0.987,-0.779,-0.383,0.139
1718726095521,2024-06-18T18.54.55.521,0.997,-0.837,-0.343,0.067
1718726095530,2024-06-18T18.54.55.530,1.006,-0.967,-0.303,0.051
1718726095540,2024-06-18T18.54.55.540,1.016,-1.008,-0.285,0.055
1718726095551,2024-06-18T18.54.55.551,1.027,-1.034,-0.266,0.019
1718726095561,2024-06-18T18.54.55.561,1.037,-1.038,-0.202,0.000
1718726095570,2024-06-18T18.54.55.570,1.046,-0.986,-0.095,0.014
1718726095580,2024-06-18T18.54.55.580,1.056,-0.886,-0.013,0.021
1718726095590,2024-06-18T18.54.55.590,1.066,-0.810,0.085,0.029
1718726095601,2024-06-18T18.54.55.601,1.077,-0.857,0.217,0.060
1718726095609,2024-06-18T18.54.55.609,1.085,-0.833,0.310,0.069
1718726095620,2024-06-18T18.54.55.620,1.096,-0.798,0.397,0.104
1718726095630,2024-06-18T18.54.55.630,1.106,-0.828,0.472,0.217
1718726095640,2024-06-18T18.54.55.640,1.116,-0.809,0.498,0.372
1718726095649,2024-06-18T18.54.55.649,1.125,-0.809,0.501,0.478
1718726095659,2024-06-18T18.54.55.659,1.135,-0.899,0.498,0.500
1718726095669,2024-06-18T18.54.55.669,1.145,-0.878,0.514,0.519
1718726095678,2024-06-18T18.54.55.678,1.154,-0.812,0.522,0.549
1718726095688,2024-06-18T18.54.55.688,1.164,-0.779,0.471,0.529
1718726095699,2024-06-18T18.54.55.699,1.175,-0.735,0.400,0.474
1718726095709,2024-06-18T18.54.55.709,1.185,-0.685,0.336,0.460
1718726095718,2024-06-18T18.54.55.718,1.194,-0.639,0.236,0.455
1718726095728,2024-06-18T18.54.55.728,1.204,-0.613,0.120,0.424
1718726095738,2024-06-18T18.54.55.738,1.214,-0.587,0.007,0.342
1718726095748,2024-06-18T18.54.55.748,1.224,-0.578,-0.076,0.259
1718726095757,2024-06-18T18.54.55.757,1.233,-0.568,-0.173,0.197
1718726095768,2024-06-18T18.54.55.768,1.244,-0.623,-0.252,0.158
1718726095778,2024-06-18T18.54.55.778,1.254,-0.772,-0.280,0.144
1718726095788,2024-06-18T18.54.55.788,1.264,-0.878,-0.301,0.166
1718726095797,2024-06-18T18.54.55.797,1.273,-0.911,-0.297,0.219
1718726095807,2024-06-18T18.54.55.807,1.283,-0.893,-0.310,0.250
1718726095817,2024-06-18T18.54.55.817,1.293,-0.904,-0.333,0.255
1718726095828,2024-06-18T18.54.55.828,1.304,-0.845,-0.335,0.273
1718726095836,2024-06-18T18.54.55.836,1.312,-0.803,-0.323,0.339
1718726095847,2024-06-18T18.54.55.847,1.323,-0.780,-0.334,0.403
1718726095857,2024-06-18T18.54.55.857,1.333,-0.733,-0.368,0.427
1718726095867,2024-06-18T18.54.55.867,1.343,-0.733,-0.380,0.434
1718726095876,2024-06-18T18.54.55.876,1.352,-0.726,-0.388,0.375
1718726095886,2024-06-18T18.54.55.886,1.362,-0.690,-0.371,0.320
