epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1718726279372,2024-06-18T18.57.59.372,0.000,-1.402,-1.646,0.976
1718726279382,2024-06-18T18.57.59.382,0.010,-1.524,-1.280,1.159
1718726279391,2024-06-18T18.57.59.391,0.019,-1.463,-0.610,1.646
1718726279401,2024-06-18T18.57.59.401,0.029,-1.159,0.244,2.317
1718726279411,2024-06-18T18.57.59.411,0.039,-0.976,1.402,3.354
1718726279422,2024-06-18T18.57.59.422,0.050,-1.037,3.171,4.207
1718726279430,2024-06-18T18.57.59.430,0.058,-1.098,4.939,5.549
1718726279441,2024-06-18T18.57.59.441,0.069,-1.280,6.280,7.500
1718726279451,2024-06-18T18.57.59.451,0.079,-1.829,7.195,9.573
1718726279461,2024-06-18T18.57.59.461,0.089,-2.439,7.195,11.951
1718726279470,2024-06-18T18.57.59.470,0.098,-3.171,6.220,14.207
1718726279480,2024-06-18T18.57.59.480,0.108,-3.537,4.817,16.280
1718726279490,2024-06-18T18.57.59.490,0.118,-3.841,3.232,18.171
1718726279499,2024-06-18T18.57.59.499,0.127,-4.268,2.378,20.122
1718726279509,2024-06-18T18.57.59.509,0.137,-5.061,4.207,22.561
1718726279520,2024-06-18T18.57.59.520,0.148,-5.854,9.146,26.159
1718726279530,2024-06-18T18.57.59.530,0.158,-6.768,14.268,30.427
1718726279539,2024-06-18T18.57.59.539,0.167,-8.171,18.232,35.671
1718726279549,2024-06-18T18.57.59.549,0.177,-9.756,21.585,41.646
1718726279559,2024-06-18T18.57.59.559,0.187,-11.341,23.659,47.866
1718726279570,2024-06-18T18.57.59.570,0.198,-12.927,24.634,53.720
1718726279578,2024-06-18T18.57.59.578,0.206,-15.061,23.232,58.354
1718726279589,2024-06-18T18.57.59.589,0.217,-16.951,19.451,61.159
1718726279599,2024-06-18T18.57.59.599,0.227,-17.500,14.390,61.402
1718726279609,2024-06-18T18.57.59.609,0.237,-16.463,11.402,63.171
1718726279618,2024-06-18T18.57.59.618,0.246,-15.305,14.024,66.707
1718726279628,2024-06-18T18.57.59.628,0.256,-14.451,22.378,69.756
1718726279638,2024-06-18T18.57.59.638,0.266,-13.415,33.354,72.134
1718726279649,2024-06-18T18.57.59.649,0.277,-12.683,44.634,74.146
1718726279657,2024-06-18T18.57.59.657,0.285,-13.902,53.293,75.793
1718726279668,2024-06-18T18.57.59.668,0.296,-16.159,57.561,78.293
1718726279678,2024-06-18T18.57.59.678,0.306,-21.159,55.793,81.463
1718726279688,2024-06-18T18.57.59.688,0.316,-28.902,46.524,83.780
1718726279697,2024-06-18T18.57.59.697,0.325,-35.732,30.549,84.878
1718726279707,2024-06-18T18.57.59.707,0.335,-40.976,14.268,85.488
1718726279717,2024-06-18T18.57.59.717,0.345,-45.122,2.683,85.488
1718726279728,2024-06-18T18.57.59.728,0.356,-47.561,-3.232,84.695
