epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1718566524095,2024-06-16T22.35.24.095,0.000,-10.793,-29.817,-29.634
1718566524105,2024-06-16T22.35.24.105,0.010,-11.159,-31.646,-28.110
1718566524115,2024-06-16T22.35.24.115,0.020,-9.085,-35.305,-24.024
1718566524124,2024-06-16T22.35.24.124,0.029,-6.280,-29.512,-21.159
1718566524134,2024-06-16T22.35.24.134,0.039,-1.890,-17.195,-19.146
1718566524145,2024-06-16T22.35.24.145,0.050,0.732,-0.061,-15.061
1718566524155,2024-06-16T22.35.24.155,0.060,1.707,12.988,-11.463
1718566524164,2024-06-16T22.35.24.164,0.069,2.134,11.646,-9.451
1718566524174,2024-06-16T22.35.24.174,0.079,3.415,-1.098,-8.476
1718566524184,2024-06-16T22.35.24.184,0.089,2.683,-6.098,-6.280
1718566524195,2024-06-16T22.35.24.195,0.100,2.256,-5.732,-3.720
1718566524203,2024-06-16T22.35.24.203,0.108,2.805,-3.110,0.061
1718566524214,2024-06-16T22.35.24.214,0.119,2.927,2.927,3.110
1718566524224,2024-06-16T22.35.24.224,0.129,3.537,3.232,4.024
1718566524234,2024-06-16T22.35.24.234,0.139,3.537,-1.707,4.634
1718566524243,2024-06-16T22.35.24.243,0.148,3.232,-4.634,4.512
1718566524253,2024-06-16T22.35.24.253,0.158,3.659,-3.171,5.366
1718566524263,2024-06-16T22.35.24.263,0.168,3.963,1.768,7.744
1718566524272,2024-06-16T22.35.24.272,0.177,4.451,4.878,10.793
1718566524282,2024-06-16T22.35.24.282,0.187,3.598,4.146,12.988
1718566524293,2024-06-16T22.35.24.293,0.198,2.988,1.220,13.598
1718566524303,2024-06-16T22.35.24.303,0.208,1.768,-0.305,13.293
1718566524312,2024-06-16T22.35.24.312,0.217,1.098,-2.134,13.720
1718566524322,2024-06-16T22.35.24.322,0.227,0.610,2.378,14.634
1718566524332,2024-06-16T22.35.24.332,0.237,1.220,9.085,14.512
1718566524343,2024-06-16T22.35.24.343,0.248,2.317,9.817,15.122
1718566524351,2024-06-16T22.35.24.351,0.256,1.341,8.049,16.037
1718566524362,2024-06-16T22.35.24.362,0.267,0.000,4.329,15.854
