x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),energy,movement
0.721961497,0.347450461,0.621071526,0.726111132,0.604544191,0.249926736,0.447067323,1
0.726838163,0.341391001,0.616096538,0.726018356,0.604567402,0.250946212,0.444260875,1
0.730688326,0.336207273,0.612827888,0.724699051,0.604671146,0.25214151,0.441565923,1
0.733216873,0.3319196,0.611308814,0.722190615,0.604856761,0.253490287,0.438839415,1
0.734182424,0.32852886,0.611513206,0.718571264,0.605090231,0.254986654,0.435942656,1
0.733406631,0.32601737,0.613351772,0.713954095,0.60530112,0.256640809,0.432749071,1
0.73078084,0.32435012,0.616681691,0.708479904,0.605386121,0.258477535,0.429150938,1
0.726270071,0.323476456,0.621318386,0.702309204,0.605216775,0.260533629,0.425064793,1
0.719914082,0.323332227,0.627047923,0.695613913,0.604650584,0.262854478,0.420435326,1
0.711825144,0.323842337,0.63363877,0.688569201,0.603544417,0.265490101,0.415237645,1
0.702182183,0.324923592,0.640852087,0.681345913,0.601768892,0.268491036,0.409477903,1
0.691221185,0.326487687,0.648450239,0.674103968,0.599222231,0.271904436,0.403192355,1
0.679222199,0.328444136,0.65620369,0.666986992,0.595842044,0.275770676,0.396444997,1
0.666493893,0.330702965,0.663896603,0.660118368,0.591613713,0.2801207,0.389323984,1
0.653357088,0.333177051,0.671331487,0.653598749,0.586574445,0.284974214,0.3819371,1
0.640128869,0.33578409,0.678333109,0.647504959,0.580812613,0.290338723,0.374406563,1
0.62710863,0.338448234,0.684751755,0.641890131,0.574462573,0.296209263,0.36686346,1
0.61456694,0.341101419,0.690465818,0.636784853,0.567695607,0.302568653,0.359442108,1
0.602737603,0.343684382,0.695383647,0.632199112,0.560707947,0.309388044,0.352274626,1
0.591812849,0.346147307,0.699444543,0.628124826,0.553707034,0.31662765,0.345485938,1
0.581941325,0.348450109,0.702618778,0.624538788,0.546897186,0.324237595,0.339189422,1
