x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
-0.053,-0.114,0.042,-10.793,-29.817,-29.634
-0.053,-0.114,0.047,-11.159,-31.646,-28.11
-0.048,-0.116,0.044,-9.085,-35.305,-24.024
-0.053,-0.119,0.047,-6.28,-29.512,-21.159
-0.049,-0.121,0.043,-1.89,-17.195,-19.146
-0.037,-0.119,0.037,0.732,-0.061,-15.061
-0.034,-0.118,0.037,1.707,12.988,-11.463
-0.037,-0.117,0.042,2.134,11.646,-9.451
-0.039,-0.118,0.042,3.415,-1.098,-8.476
-0.049,-0.118,0.036,2.683,-6.098,-6.28
-0.049,-0.117,0.032,2.256,-5.732,-3.72
-0.033,-0.117,0.03,2.805,-3.11,0.061
-0.026,-0.117,0.031,2.927,2.927,3.11
-0.028,-0.117,0.034,3.537,3.232,4.024
-0.031,-0.116,0.033,3.537,-1.707,4.634
-0.034,-0.115,0.032,3.232,-4.634,4.512
-0.031,-0.117,0.031,3.659,-3.171,5.366
-0.029,-0.118,0.027,3.963,1.768,7.744
-0.028,-0.119,0.026,4.451,4.878,10.793
-0.023,-0.117,0.029,3.598,4.146,12.988
-0.021,-0.118,0.029,2.988,1.22,13.598
-0.03,-0.118,0.026,1.768,-0.305,13.293
-0.028,-0.118,0.025,1.098,-2.134,13.72
-0.019,-0.12,0.024,0.61,2.378,14.634
-0.018,-0.122,0.023,1.22,9.085,14.512
-0.021,-0.122,0.022,2.317,9.817,15.122
-0.023,-0.12,0.021,1.341,8.049,16.037
-0.021,-0.119,0.023,0.0,4.329,15.854
-0.016,-0.12,0.024,-0.122,1.037,14.939
-0.015,-0.121,0.024,0.305,-0.915,13.049
-0.018,-0.12,0.024,0.122,-0.061,12.5
-0.016,-0.119,0.026,-0.366,2.073,11.646
-0.012,-0.12,0.025,-0.183,5.122,10.488
-0.012,-0.12,0.026,0.122,5.061,8.78
-0.015,-0.119,0.026,-0.305,0.793,7.561
-0.021,-0.118,0.027,-1.28,-2.988,6.768
-0.02,-0.12,0.026,-1.22,-3.659,6.524
-0.016,-0.121,0.026,-0.854,0.61,7.073
-0.014,-0.122,0.028,-0.305,6.098,7.805
-0.012,-0.122,0.028,0.61,8.537,7.134
-0.012,-0.121,0.027,0.915,9.329,5.793
-0.016,-0.12,0.029,0.793,8.598,2.805
-0.018,-0.12,0.029,1.037,4.39,0.244
-0.021,-0.12,0.028,0.671,1.524,-0.549
-0.02,-0.12,0.028,0.549,0.305,-0.366
-0.019,-0.12,0.028,0.061,1.585,0.549
-0.019,-0.12,0.029,-0.671,2.988,0.671
-0.018,-0.12,0.029,-1.098,2.439,0.305
-0.02,-0.12,0.03,-1.585,1.585,-0.915
-0.02,-0.12,0.031,-1.646,-1.159,-2.256
-0.02,-0.12,0.032,-1.646,-0.793,-2.927
-0.022,-0.12,0.031,-1.28,0.915,-3.659
-0.023,-0.121,0.03,-0.122,3.171,-3.354
-0.023,-0.121,0.03,0.732,5.061,-2.744
-0.025,-0.12,0.03,0.671,6.22,-1.89
-0.026,-0.119,0.03,0.183,5.549,-1.402
-0.027,-0.119,0.031,-0.244,4.207,-1.402
-0.026,-0.119,0.032,-0.305,1.951,-2.134
-0.026,-0.118,0.032,0.061,-0.122,-2.561
-0.027,-0.119,0.032,0.305,-0.183,-2.805
-0.026,-0.12,0.031,0.976,2.683,-2.622
-0.025,-0.12,0.03,1.768,6.585,-2.195
-0.026,-0.12,0.029,2.317,8.171,-1.22
-0.028,-0.118,0.029,1.829,6.768,-0.488
-0.03,-0.117,0.03,0.732,3.11,-0.793
-0.03,-0.117,0.031,0.122,-1.829,-1.402
-0.029,-0.118,0.031,-0.061,-4.024,-1.463
-0.027,-0.119,0.031,0.549,-3.293,-1.585
-0.026,-0.119,0.03,1.463,-0.427,-1.037
