x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
-0.878,0.514,0.519,49.024,-9.512,-9.268
-0.812,0.522,0.549,52.134,-9.39,0.488
-0.779,0.471,0.529,53.78,-8.11,8.902
-0.735,0.4,0.474,51.341,-6.89,15.061
-0.685,0.336,0.46,46.768,-8.049,18.72
-0.639,0.236,0.455,42.317,-11.89,19.634
-0.613,0.12,0.424,37.134,-14.817,17.439
-0.587,0.007,0.342,29.024,-12.073,12.256
-0.578,-0.076,0.259,22.256,-3.963,4.939
-0.568,-0.173,0.197,16.402,4.573,1.22
-0.623,-0.252,0.158,10.427,10.61,0.854
-0.772,-0.28,0.144,4.695,13.841,2.256
-0.878,-0.301,0.166,-0.671,13.049,3.78
-0.911,-0.297,0.219,-4.695,7.134,4.695
-0.893,-0.31,0.25,-6.707,-1.463,5.061
-0.904,-0.333,0.255,-7.561,-8.476,4.756
-0.845,-0.335,0.273,-8.72,-10.976,4.268
-0.803,-0.323,0.339,-7.622,-9.451,2.561
-0.78,-0.334,0.403,-3.841,-4.573,1.646
-0.733,-0.368,0.427,1.28,5.183,0.671
-0.733,-0.38,0.434,5.976,15.976,-1.098
-0.726,-0.388,0.375,8.963,27.5,-2.195
-0.69,-0.371,0.32,7.073,34.756,-4.573
-0.654,-0.342,0.297,4.146,33.049,-7.744
-0.723,-0.354,0.299,2.805,28.598,-10.061
-0.735,-0.382,0.293,1.707,28.598,-10.488
-0.777,-0.346,0.253,2.927,35.122,-11.463
-0.788,-0.318,0.233,4.329,45.305,-11.28
-0.78,-0.279,0.205,5.061,50.793,-10.305
-0.829,-0.227,0.148,5.488,51.768,-7.988
-0.859,-0.204,0.124,2.378,49.634,-3.537
-0.861,-0.173,0.111,-4.268,39.451,0.366
-0.91,-0.125,0.077,-11.463,21.159,3.902
-0.979,-0.083,0.073,-19.146,1.037,8.049
-0.993,-0.044,0.12,-26.159,-15.915,13.232
-0.963,-0.009,0.165,-31.037,-27.5,19.268
-0.945,0.011,0.19,-32.317,-33.902,23.963
-0.988,-0.009,0.173,-28.841,-32.317,28.476
-0.947,-0.069,0.164,-25.671,-21.22,33.232
-0.848,-0.076,0.151,-24.39,-10.305,35.854
-0.802,-0.055,0.109,-22.5,-3.049,36.646
-0.811,-0.05,0.095,-22.195,0.915,35.61
-0.802,-0.035,0.102,-23.171,-1.402,33.476
-0.795,-0.03,0.095,-27.744,-17.866,30.366
-0.834,-0.028,0.073,-33.415,-43.963,25.488
-0.957,-0.032,0.017,-37.805,-64.634,21.829
-0.975,-0.081,-0.014,-41.89,-67.317,21.585
-0.883,-0.121,-0.015,-44.817,-54.451,21.89
-0.812,-0.162,-0.025,-45.305,-35.427,19.024
-0.809,-0.209,-0.008,-42.195,-11.707,12.561
-0.818,-0.26,0.024,-37.317,14.939,4.939
-0.832,-0.304,0.034,-34.573,30.122,-4.024
-0.83,-0.324,0.036,-34.268,19.085,-12.622
-0.918,-0.33,-0.004,-34.939,-17.561,-19.634
-1.032,-0.339,-0.036,-38.11,-61.707,-24.207
-1.109,-0.357,0.055,-43.293,-93.537,-28.11
-1.052,-0.398,0.149,-45.0,-100.732,-28.902
-0.948,-0.436,0.188,-42.683,-79.329,-29.39
-0.913,-0.428,0.202,-35.732,-35.549,-31.585
-0.895,-0.447,0.192,-23.902,17.256,-34.024
-0.864,-0.505,0.173,-14.695,49.207,-35.061
-0.837,-0.527,0.109,-8.049,37.744,-34.268
-0.999,-0.564,0.003,-2.195,-5.915,-33.598
-1.257,-0.613,0.034,-2.256,-49.329,-34.146
-1.313,-0.632,0.175,-5.061,-71.585,-34.329
-1.167,-0.673,0.241,-5.854,-74.329,-33.78
-1.038,-0.698,0.219,-4.146,-65.305,-36.28
-0.977,-0.688,0.199,-0.976,-46.524,-41.037
-0.891,-0.685,0.199,3.415,-22.683,-45.061
-0.739,-0.705,0.15,9.451,-3.476,-46.707
-0.643,-0.709,0.076,14.634,3.537,-49.207
-0.678,-0.717,0.059,16.646,-3.659,-54.451
-0.789,-0.752,0.101,19.146,-18.963,-60.854
-0.862,-0.821,0.162,20.854,-32.805,-64.573
-0.829,-0.873,0.219,20.549,-38.232,-66.463
-0.79,-0.89,0.23,20.366,-34.451,-69.939
-0.769,-0.907,0.212,20.61,-23.232,-74.146
-0.737,-0.911,0.209,20.183,-8.78,-76.585
-0.655,-0.91,0.207,18.659,-0.183,-75.366
-0.609,-0.914,0.16,19.756,-1.585,-74.329
-0.658,-0.943,0.142,19.817,-6.463,-75.488
-0.682,-0.967,0.211,18.232,-11.341,-77.195
-0.698,-0.972,0.239,19.39,-15.244,-78.598
-0.703,-1.008,0.238,20.549,-13.598,-76.951
-0.649,-1.02,0.244,20.244,-6.402,-75.0
-0.639,-0.997,0.244,19.756,1.829,-71.829
-0.646,-0.986,0.216,19.024,7.5,-65.122
-0.67,-0.975,0.196,18.049,8.841,-55.793
-0.707,-0.963,0.212,15.488,4.634,-47.317
-0.72,-0.946,0.246,11.524,-5.122,-41.829
-0.723,-0.914,0.263,7.561,-17.378,-38.902
-0.694,-0.889,0.269,3.72,-26.585,-37.866
-0.66,-0.875,0.258,1.22,-29.146,-37.561
-0.637,-0.866,0.25,0.915,-24.634,-36.829
-0.614,-0.86,0.271,2.378,-17.561,-33.72
-0.602,-0.866,0.287,5.488,-12.012,-28.415
-0.622,-0.871,0.309,7.012,-7.805,-23.11
-0.63,-0.854,0.314,6.951,-5.061,-19.39
-0.612,-0.818,0.309,5.915,-5.183,-17.988
-0.569,-0.789,0.321,3.659,-8.72,-18.293
-0.575,-0.764,0.325,2.561,-13.049,-18.963
-0.587,-0.764,0.331,3.293,-13.78,-18.049
-0.594,-0.772,0.331,5.061,-8.72,-16.098
-0.593,-0.779,0.324,6.585,-2.012,-12.988
-0.605,-0.773,0.309,7.5,1.341,-9.085
-0.618,-0.76,0.308,6.341,-0.915,-5.854
-0.625,-0.742,0.311,3.293,-8.232,-4.268
-0.645,-0.725,0.309,-0.305,-17.866,-3.963
-0.631,-0.721,0.32,-2.5,-24.756,-4.573
-0.608,-0.714,0.332,-2.195,-24.329,-4.939
-0.583,-0.724,0.331,-0.244,-15.915,-3.78
-0.57,-0.733,0.319,3.11,-3.659,-1.402
-0.566,-0.741,0.312,6.098,6.707,1.707
-0.571,-0.736,0.315,7.5,10.915,3.963
-0.596,-0.721,0.322,7.134,8.72,4.695
-0.612,-0.707,0.328,5.305,3.415,3.963
-0.634,-0.695,0.333,3.78,-1.585,3.354
-0.643,-0.696,0.332,3.11,-3.659,4.268
-0.642,-0.713,0.327,2.622,-3.598,5.366
-0.634,-0.72,0.311,2.439,-2.439,5.976
-0.625,-0.723,0.302,2.561,-1.098,5.671
-0.591,-0.731,0.31,2.805,-0.549,3.841
-0.573,-0.726,0.306,3.293,0.122,0.976
-0.578,-0.72,0.31,3.902,1.646,-0.976
-0.572,-0.722,0.31,4.329,3.841,-1.22
-0.59,-0.726,0.31,4.878,5.976,-0.488
-0.605,-0.731,0.297,5.305,8.293,0.61
-0.599,-0.736,0.284,4.695,9.451,0.671
-0.577,-0.736,0.279,3.232,7.5,-1.341
-0.558,-0.725,0.281,1.89,2.5,-3.78
-0.578,-0.713,0.285,1.159,-1.402,-5.305
-0.582,-0.706,0.301,1.037,-1.829,-5.244
-0.582,-0.698,0.306,1.646,0.305,-4.085
-0.593,-0.699,0.292,2.073,4.146,-3.049
-0.592,-0.693,0.281,1.646,7.378,-2.683
-0.588,-0.689,0.274,0.854,7.927,-3.659
-0.599,-0.693,0.276,-0.183,5.61,-4.878
-0.614,-0.696,0.28,-0.976,2.805,-6.037
-0.619,-0.705,0.283,-1.28,1.646,-6.89
-0.626,-0.71,0.296,-1.037,1.768,-6.89
-0.641,-0.707,0.305,-0.427,2.927,-5.549
-0.646,-0.705,0.317,0.244,3.902,-4.268
